 ,Total Compensation, Total Expenses, Total Contributions, Totals
VIRGINIA MASON MEDICAL CENTER, 0.00, 0.00, 0.00, 0.00
VULCAN INC, 0.00, 0.00, 0.00, 0.00
WA & NORTHERN IDAHO DIST COUNCIL LABORERS UNION, 0.00, 0.00, 0.00, 0.00
WA ACADEMY OF EYE PHYSICIANS & SURGEONS, 0.00, 0.00, 0.00, 0.00
WA ACADEMY OF FAMILY PHYSICIANS, 0.00, 0.00, 0.00, 0.00
WA ACADEMY OF PHYSICIAN ASSISTANTS, 0.00, 0.00, 0.00, 0.00
WA AGGREGATES & CONCRETE ASSN, 0.00, 0.00, 0.00, 0.00
WA AIRPORT MANAGEMENT ASSN, 0.00, 0.00, 0.00, 0.00
WA ALLIANCE FOR GUN RESPONSIBILITY, 0.00, 0.00, 200.00, 200.00
WA ALLIANCE OF BOYS & GIRLS CLUB, 0.00, 0.00, 0.00, 0.00
WA AMBULANCE ASSN, 0.00, 0.00, 0.00, 0.00
WA AMBULATORY SURGERY CENTER ASSN, 0.00, 0.00, 0.00, 0.00
WA AMUSEMENT & MUSIC OPERATORS ASSN, 0.00, 0.00, 0.00, 0.00
WA APARTMENT ASSN, 0.00, 0.00, 0.00, 0.00
WA ASPARAGUS COMMISSION, 0.00, 0.00, 0.00, 0.00
WA ASPHALT PAVEMENT ASSN, 0.00, 0.00, 0.00, 0.00
WA ASSN COMMUNITY & MIGRANT HEALTH CTRS, 0.00, 0.00, 0.00, 0.00
WA ASSN FOR BEHAVIOR ANALYSIS, 0.00, 0.00, 0.00, 0.00
WA ASSN FOR CAREER & TECHNICAL EDUCATION, 0.00, 0.00, 0.00, 0.00
WA ASSN FOR CHILDREN & FAMILIES, 0.00, 0.00, 0.00, 0.00
WA ASSN FOR MARRIAGE & FAMILY THERAPY, 0.00, 0.00, 0.00, 0.00
WA ASSN FOR PUPIL TRANSPORTATION, 7800.00, 0.00, 0.00, 7800.00
WA ASSN FOR SUBSTANCE ABUSE & VIOLENCE PREVENTION, 0.00, 0.00, 0.00, 0.00
WA ASSN OF AREA AGENCIES ON AGING, 0.00, 0.00, 0.00, 0.00
WA ASSN OF BUILDING OFFICIALS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF COLLEGES FOR TEACHER EDUCATION, 0.00, 0.00, 0.00, 0.00
WA ASSN OF CONSERVATION DISTRICTS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF COUNTY OFFICIALS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF CRIMINAL DEFENSE LAWYERS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF DRUG COURTS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF FISH & WILDLIFE PROFESSIONALS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF HEALTH UNDERWRITERS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF HOME CARE AGENCIES, 0.00, 0.00, 0.00, 0.00
WA ASSN OF JUVENILE COURT ADMINISTRATORS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF NATUROPATHIC PHYSICIANS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF NEIGHBORHOOD STORES, 0.00, 0.00, 0.00, 0.00
WA ASSN OF NURSE ANESTHETISTS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF PROFESSIONAL GUARDIANS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF PROSECUTING ATTORNEYS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF REALTORS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF ROUTE OPERATORS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF SCHOOL ADMINISTRATORS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF SEWER & WATER DISTRICTS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF SHERIFFS & POLICE CHIEFS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF VEHICLE SUBAGENTS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF WHEAT GROWERS, 0.00, 0.00, 0.00, 0.00
WA ASSN OF WINE GRAPE GROWERS, 0.00, 0.00, 0.00, 0.00
WA AUTISM ALLIANCE & ADVOCACY, 0.00, 0.00, 0.00, 0.00
WA BAIL BOND COALITION, 0.00, 0.00, 0.00, 0.00
WA BANKERS ASSN, 0.00, 0.00, 0.00, 0.00
WA BEER & WINE DISTRIBUTORS ASSN, 0.00, 0.00, 0.00, 0.00
WA BEVERAGE ASSN, 0.00, 0.00, 0.00, 0.00
WA BIOTECHNOLOGY & BIOMEDICAL ASSN, 0.00, 0.00, 0.00, 0.00
WA BREWERS GUILD, 0.00, 0.00, 0.00, 0.00
WA BUSINESS ALLIANCE FUND, 0.00, 0.00, 0.00, 0.00
WA CAMPUS COMPACT, 0.00, 0.00, 0.00, 0.00
WA CANNABUSINESS ASSN, 0.00, 0.00, 0.00, 0.00
WA CATTLE FEEDERS ASSN, 0.00, 0.00, 0.00, 0.00
WA CATTLEMEN'S ASSN, 0.00, 0.00, 0.00, 0.00
WA CEMETERY;CREMATION & FUNERAL ASSN, 0.00, 0.00, 0.00, 0.00
WA CHARTERS ACTION, 0.00, 0.00, 0.00, 0.00
WA CHRISTMAS TREE GROWERS, 0.00, 0.00, 0.00, 0.00
WA CITIES INSURANCE AUTHORITY, 0.00, 0.00, 0.00, 0.00
WA COALITION FOR GIFTED EDUCATION, 0.00, 0.00, 0.00, 0.00
WA COALITION OF SEXUAL ASSUALT PROGRAMS, 0.00, 0.00, 0.00, 0.00
WA COLLECTORS ASSN, 0.00, 0.00, 0.00, 0.00
WA COMMUNITY ACTION NETWORK, 0.00, 0.00, 0.00, 0.00
WA CONSERVATION VOTERS, 0.00, 0.00, 0.00, 0.00
WA CONSTRUCTION INDUSTRY COUNCIL, 0.00, 0.00, 0.00, 0.00
WA CONTRACT LOGGERS ASSN INC, 0.00, 0.00, 0.00, 0.00
WA COUNCIL FOR BEHAVIORAL HEALTH, 0.00, 0.00, 0.00, 0.00
WA DEFENDER ASSN, 0.00, 0.00, 0.00, 0.00
WA DEFENSE TRIAL LAWYERS, 0.00, 0.00, 0.00, 0.00
WA DENTAL SERVICE, 0.00, 0.00, 2500.00, 2500.00
WA DENTURIST ASSN, 0.00, 0.00, 0.00, 0.00
WA DISTILLERS GUILD, 0.00, 0.00, 0.00, 0.00
WA EAST ASIAN MEDICINE ASSN, 0.00, 0.00, 0.00, 0.00
WA ECONOMIC DEVELOPMENT ASSN, 0.00, 0.00, 0.00, 0.00
WA EDUCATION ASSN, 0.00, 0.00, 220233.96, 220233.96
WA EDUCATION ASSN - CHINOOK, 0.00, 0.00, 0.00, 0.00
WA EDUCATION ASSN - EASTERN WA, 0.00, 0.00, 0.00, 0.00
WA EDUCATION ASSN - FOURTH CORNER, 0.00, 0.00, 0.00, 0.00
WA EDUCATION ASSN - LOWER COLUMBIA, 0.00, 0.00, 0.00, 0.00
WA EDUCATION ASSN - MIDSTATE, 0.00, 0.00, 0.00, 0.00
WA EDUCATION ASSN - RIVERSIDE, 0.00, 0.00, 0.00, 0.00
WA EDUCATION ASSN - SOUTHEAST, 0.00, 0.00, 0.00, 0.00
WA ELDERCARE ALLIANCE, 0.00, 0.00, 0.00, 0.00
WA ELECTRIC VEHICLE ADVOCACY PAC, 0.00, 0.00, 0.00, 0.00
WA EMPLOYMENT LAWYERS ASSN, 0.00, 0.00, 0.00, 0.00
WA ENGAGE, 0.00, 0.00, 0.00, 0.00
WA ENVIRONMENTAL COUNCIL, 0.00, 0.00, 0.00, 0.00
WA FARM FORESTRY ASSN, 0.00, 0.00, 0.00, 0.00
WA FEDERATION OF INDEPENDENT SCHOOLS, 0.00, 0.00, 0.00, 0.00
WA FEDERATION OF STATE EMPLOYEES, 0.00, 0.00, 0.00, 0.00
WA FILM WORKS, 0.00, 0.00, 0.00, 0.00
WA FIRE COMMISSIONERS ASSN, 0.00, 0.00, 0.00, 0.00
WA FISH GROWERS ASSN, 0.00, 0.00, 0.00, 0.00
WA FOOD COALITION, 0.00, 0.00, 0.00, 0.00
WA FOOD INDUSTRY, 0.00, 0.00, 0.00, 0.00
WA FOREST PROTECTION ASSN, 0.00, 0.00, 0.00, 0.00
WA FRIENDS OF FARMS & FORESTS, 0.00, 0.00, 0.00, 0.00
WA GROWERS LEAGUE, 0.00, 0.00, 0.00, 0.00
WA HARVESTERS ASSN, 0.00, 0.00, 0.00, 0.00
WA HEALTH ALLIANCE, 0.00, 0.00, 0.00, 0.00
WA HEALTH CARE ASSN, 0.00, 0.00, 0.00, 0.00
WA HEARING SOCIETY, 0.00, 0.00, 0.00, 0.00
WA HOME CARE ASSN, 0.00, 0.00, 0.00, 0.00
WA HVACCA, 0.00, 0.00, 0.00, 0.00
WA INDEPENDENT MEDICAL EXAM COALITION, 0.00, 0.00, 0.00, 0.00
WA INDEPENDENT TELEPHONE ASSN, 0.00, 0.00, 0.00, 0.00
WA INDEPENDENT TOWERS, 0.00, 0.00, 0.00, 0.00
WA INDIAN GAMING ASSN, 0.00, 0.00, 0.00, 0.00
WA INFORMATION NETWORK 211, 0.00, 0.00, 0.00, 0.00
WA INSURERS, 0.00, 0.00, 0.00, 0.00
WA INTERSCHOLASTIC ACTIVITIES ASSN, 0.00, 0.00, 0.00, 0.00
WA LAND TITLE ASSN, 0.00, 0.00, 0.00, 0.00
WA LANDLORD ASSN, 0.00, 0.00, 0.00, 0.00
WA LIBRARY ASSN, 0.00, 0.00, 0.00, 0.00
WA LIBRARY MEDIA ASSN, 0.00, 0.00, 0.00, 0.00
WA LIQUOR STORE ASSN, 0.00, 0.00, 0.00, 0.00
WA LODGING ASSN, 0.00, 0.00, 0.00, 0.00
WA LOW-INCOME HOUSING ALLIANCE, 0.00, 0.00, 0.00, 0.00
WA MASSAGE OWNERS ASSN, 0.00, 0.00, 0.00, 0.00
WA MEDIA SVCS INC*, 0.00, 0.00, 0.00, 0.00
WA MENTAL HEALTH COUNSELORS ASSN, 0.00, 0.00, 0.00, 0.00
WA MORTGAGE BANKERS ASSN, 0.00, 0.00, 0.00, 0.00
WA MULTI-FAMILY HOUSING ASSN, 0.00, 0.00, 0.00, 0.00
WA MUSIC EDUCATORS ASSN, 0.00, 0.00, 0.00, 0.00
WA NONPROFITS, 0.00, 0.00, 0.00, 0.00
WA OCCUPATIONAL THERAPY ASSN, 0.00, 0.00, 0.00, 0.00
WA OFF HIGHWAY VEHICLE ALLIANCE, 0.00, 0.00, 0.00, 0.00
WA OIL MARKETERS ASSN, 0.00, 0.00, 0.00, 0.00
WA ONSITE SEWAGE ASSN, 0.00, 0.00, 0.00, 0.00
WA ORTHOTIC & PROSTHETIC ASSN, 0.00, 0.00, 0.00, 0.00
WA OSTEOPATHIC MEDICAL ASSN, 0.00, 0.00, 0.00, 0.00
WA PAWNBROKERS ASSN, 0.00, 0.00, 0.00, 0.00
WA PHYSICIANS HEALTH PROGRAM, 0.00, 0.00, 0.00, 0.00
WA POISON CENTER, 0.00, 0.00, 0.00, 0.00
WA PUBLIC AFFAIRS NETWORK DBA TVW, 0.00, 0.00, 0.00, 0.00
WA PUBLIC EMPLOYEES ASSN, 0.00, 0.00, 0.00, 0.00
WA PUBLIC INTEREST RESEARCH GROUP, 0.00, 0.00, 0.00, 0.00
WA PUBLIC PORTS ASSN, 0.00, 0.00, 0.00, 0.00
WA PUBLIC UTILITIES DISTS ASSN, 0.00, 0.00, 0.00, 0.00
WA RECREATION & PARKS ASSN, 0.00, 0.00, 0.00, 0.00
WA REFLEXOLOGY ASSN, 0.00, 0.00, 0.00, 0.00
WA REFUSE & RECYCLING ASSN, 0.00, 0.00, 0.00, 0.00
WA RESTAURANT ASSN, 0.00, 0.00, 0.00, 0.00
WA RETAIL ASSN, 0.00, 0.00, 0.00, 0.00
WA ROUNDTABLE, 0.00, 0.00, 0.00, 0.00
WA RURAL CO INSURANCE PROGRAM, 0.00, 0.00, 0.00, 0.00
WA RURAL ELECTRIC CO-OP ASSN, 0.00, 0.00, 0.00, 0.00
WA SCHOOL COUNSELORS ASSN, 0.00, 0.00, 0.00, 0.00
WA SCHOOL INFORMATION PROCESSING COOP, 0.00, 0.00, 0.00, 0.00
WA SELF INSURERS ASSN, 0.00, 0.00, 0.00, 0.00
WA SKILL GAME, 0.00, 0.00, 0.00, 0.00
WA SOCIETY OF CPA'S, 0.00, 0.00, 0.00, 0.00
WA SPEECH & HEARING ASSN, 0.00, 0.00, 0.00, 0.00
WA ST ACADEMY OF NUTRITION & DIETETICS, 0.00, 0.00, 0.00, 0.00
WA ST ASSN FOR JUSTICE, 0.00, 0.00, 0.00, 0.00
WA ST ASSN OF BROADCASTERS, 0.00, 0.00, 0.00, 0.00
WA ST ASSN OF CHILDRENS  ADVOCACY CENTERS, 0.00, 0.00, 0.00, 0.00
WA ST ASSN OF COUNTIES, 0.00, 0.00, 0.00, 0.00
WA ST ASSN OF FIRE CHIEFS, 0.00, 0.00, 0.00, 0.00
WA ST ASSN OF HEADSTART ECEAP, 0.00, 0.00, 0.00, 0.00
WA ST ASSN OF HOME CARE SERVICES, 0.00, 0.00, 0.00, 0.00
WA ST ASSN OF PLUMBERS & PIPEFITTERS, 0.00, 0.00, 0.00, 0.00
WA ST AUDUBON SOCIETY, 0.00, 0.00, 0.00, 0.00
WA ST AUTO DEALERS ASSN INC, 0.00, 0.00, 0.00, 0.00
WA ST BAIL AGENTS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST BAR ASSN, 0.00, 0.00, 0.00, 0.00
WA ST BEEKEEPERS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST BUDGET & POLICY CENTER, 0.00, 0.00, 0.00, 0.00
WA ST BUILDING & CONSTRUCTION TRADES COUNCIL, 0.00, 0.00, 0.00, 0.00
WA ST CATHOLIC CONFERENCE, 0.00, 0.00, 0.00, 0.00
WA ST CHAPTER OF ASSOC PUBLIC SAFETY COMMUNICATIONS OFFICIALS, 0.00, 0.00, 0.00, 0.00
WA ST CHAPTER OF THE SIERRA CLUB, 0.00, 0.00, 0.00, 0.00
WA ST CHILD CARE RESOURCE/REFERRAL NETWORK, 0.00, 0.00, 0.00, 0.00
WA ST CHIROPRACTIC ASSN, 0.00, 0.00, 0.00, 0.00
WA ST COALITION  AGAINST DOMESTIC VIOLENCE, 0.00, 0.00, 0.00, 0.00
WA ST COALITION MENTAL HLTH PROF & CONSUMERS, 0.00, 0.00, 0.00, 0.00
WA ST COMMUNITY ACTION PARTNERSHIP, 0.00, 0.00, 0.00, 0.00
WA ST CONFERENCE OF MASON CONTRACTORS, 0.00, 0.00, 0.00, 0.00
WA ST COUNCIL OF FARMER COOPERATIVES, 0.00, 0.00, 0.00, 0.00
WA ST COUNCIL OF FIRE FIGHTERS, 0.00, 0.00, 17500.00, 17500.00
WA ST COUNCIL OF POLICE & SHERIFFS, 0.00, 0.00, 0.00, 0.00
WA ST DAIRY FEDERATION, 0.00, 0.00, 0.00, 0.00
WA ST DENTAL ASSN, 0.00, 0.00, 0.00, 0.00
WA ST DENTAL HYGIENISTS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST DESTINATION MARKETING ORGANIZATIONS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST DIST & MUNICIPAL COURT JUDGES ASSN, 0.00, 0.00, 0.00, 0.00
WA ST EMERGENCY MANAGERS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST FAIRS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST FARM BUREAU, 0.00, 0.00, 0.00, 0.00
WA ST FED OF ANIMAL CARE/CONTROL AGENCIES, 0.00, 0.00, 0.00, 0.00
WA ST FINANCIAL SERVICES ASSN, 0.00, 0.00, 0.00, 0.00
WA ST FIRE FIGHTERS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST FOOD TRUCK ASSN, 0.00, 0.00, 0.00, 0.00
WA ST FUNERAL DIRECTORS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST GRANGE, 0.00, 0.00, 0.00, 0.00
WA ST GROUND WATER ASSN, 0.00, 0.00, 0.00, 0.00
WA ST HOSPICE & PALLIATIVE CARE ORG, 0.00, 0.00, 0.00, 0.00
WA ST HOSPITAL ASSN, 0.00, 0.00, 0.00, 0.00
WA ST INDEPENDENT AUTO DEALERS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST LABOR COUNCIL;AFL-CIO, 0.00, 0.00, 74939.86, 74939.86
WA ST MAJOR LEAGUE BASEBALL STADIUM PUBLIC FACILITIES DISTRICT (PFD), 0.00, 0.00, 0.00, 0.00
WA ST MARTIAL ARTS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST MEDICAL ASSN, 0.00, 0.00, 0.00, 0.00
WA ST MOTORSPORT DEALERS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST NOW, 0.00, 0.00, 0.00, 0.00
WA ST NURSERY & LANDSCAPE ASSN, 0.00, 0.00, 0.00, 0.00
WA ST NURSES ASSN, 0.00, 0.00, 0.00, 0.00
WA ST PATROL LIEUTENANTS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST PATROL TROOPERS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST PHARMACY ASSN, 0.00, 0.00, 0.00, 0.00
WA ST PODIATRIC MEDICAL ASSN, 0.00, 0.00, 0.00, 0.00
WA ST POTATO COMMISSION, 0.00, 0.00, 0.00, 0.00
WA ST PROCESS SERVERS ASSN, 0.00, 0.00, 0.00, 0.00
WA ST PSYCHIATRIC ASSN, 0.00, 0.00, 0.00, 0.00
WA ST PSYCHOLOGICAL ASSN, 0.00, 0.00, 0.00, 0.00
WA ST PTA, 0.00, 0.00, 0.00, 0.00
WA ST RADIOLOGICAL SOCIETY, 0.00, 0.00, 0.00, 0.00
WA ST SCHOOL RETIREES ASSN, 0.00, 0.00, 0.00, 0.00
WA ST SELF STORAGE ASSN, 0.00, 0.00, 0.00, 0.00
WA ST SNOWMOBILE ASSN, 0.00, 0.00, 0.00, 0.00
WA ST SOC OF ORAL/MAXILLOFACIAL SURGERY, 0.00, 0.00, 0.00, 0.00
WA ST SOCIETY FOR CLINICAL SOCIAL WORK, 0.00, 0.00, 0.00, 0.00
WA ST SOCIETY OF ANESTHESIOLOGISTS, 0.00, 0.00, 0.00, 0.00
WA ST SOCIETY OF OCULARISTS, 0.00, 0.00, 0.00, 0.00
WA ST TRANSIT ASSN, 0.00, 0.00, 0.00, 0.00
WA ST TREE FRUIT ASSN, 0.00, 0.00, 0.00, 0.00
WA ST UNIVERSITY, 0.00, 0.00, 0.00, 0.00
WA ST VETERINARY MEDICAL ASSN, 0.00, 0.00, 0.00, 0.00
WA ST WATER RESOURCES ASSN, 0.00, 0.00, 0.00, 0.00
WA STATE ATHLETIC TRAINERS ASSN, 0.00, 0.00, 0.00, 0.00
WA STATE CONVENTION CENTER PUBLIC FACILITIES DIST, 0.00, 0.00, 0.00, 0.00
WA STATE COUNCIL OF COOUNTY & CITY EMPLOYEES, 0.00, 0.00, 0.00, 0.00
WA STEM CENTER, 0.00, 0.00, 0.00, 0.00
WA TECHNOLOGY INDUSTRY ASSN, 0.00, 0.00, 0.00, 0.00
WA TOURISM ALLIANCE, 0.00, 0.00, 0.00, 0.00
WA TOXICS COALITION, 0.00, 0.00, 0.00, 0.00
WA TRAILS ASSN, 0.00, 0.00, 0.00, 0.00
WA TRUCKING ASSN, 0.00, 0.00, 0.00, 0.00
WA TRUST FOR HISTORIC PRESERVATION, 0.00, 0.00, 0.00, 0.00
WA UNITED FOR FAIR REVENUE, 0.00, 0.00, 0.00, 0.00
WA VAPE ASSN, 0.00, 0.00, 0.00, 0.00
WA WATER POLICY ALLIANCE, 0.00, 0.00, 0.00, 0.00
WA WHOLESALE DRUGGIST ASSN, 0.00, 0.00, 0.00, 0.00
WA WILDLIFE & RECREATION COALITION, 0.00, 0.00, 0.00, 0.00
WA WINE INSTITUTE, 0.00, 0.00, 0.00, 0.00
WALGREENS, 0.00, 0.00, 0.00, 0.00
WALLINGFORD COMMUNITY SENIOR CENTER, 0.00, 0.00, 0.00, 0.00
WAL-MART STORES, 0.00, 0.00, 0.00, 0.00
WASHINGTON 2 ADVOCATES*, 0.00, 0.00, 0.00, 0.00
WASHINGTON BIKES, 0.00, 0.00, 0.00, 0.00
WASTE CONNECTIONS INC, 0.00, 0.00, 0.00, 0.00
WASTE MANAGEMENT INC, 0.00, 0.00, 0.00, 0.00
WAYA PARTNERS INC, 0.00, 0.00, 0.00, 0.00
WAYPOINT CONSULTING GROUP*, 0.00, 0.00, 0.00, 0.00
WELLS FARGO & CO, 0.00, 0.00, 0.00, 0.00
WELLSPRING FAMILY SERVICES, 0.00, 0.00, 0.00, 0.00
WESTERN FIREWORKS INC, 0.00, 0.00, 0.00, 0.00
WESTERN GOVERNORS UNIVERSITY, 0.00, 0.00, 0.00, 0.00
WESTERN STATES ARTS FEDERATION, 0.00, 0.00, 0.00, 0.00
WESTERN STATES PETROLEUM ASSN, 0.00, 0.00, 0.00, 0.00
WESTERN WA GOLF COURSE SUPERINTENDENTS ASSN, 0.00, 0.00, 0.00, 0.00
WESTERN WOOD PRESERVES INSTITUTE, 0.00, 0.00, 0.00, 0.00
WESTOUND STRATEGIC PARTNERS LLC*, 0.00, 0.00, 0.00, 0.00
WESTROCK, 0.00, 0.00, 0.00, 0.00
WEYERHAEUSER CO, 0.00, 0.00, 0.00, 0.00
WHATCOM AG WATER BOARD, 0.00, 0.00, 0.00, 0.00
WHATCOM CO, 0.00, 0.00, 0.00, 0.00
WHATCOM CO COUNCIL OF GOVERNMENTS, 0.00, 0.00, 0.00, 0.00
WHITE TUDOR LLC*, 0.00, 0.00, 0.00, 0.00
WHITMAN CO COMMISSION, 0.00, 0.00, 0.00, 0.00
WILDERNESS SOCIETY, 0.00, 0.00, 0.00, 0.00
WILLAMETTE DENTAL MANAGEMENT CORP, 0.00, 0.00, 0.00, 0.00
WILLIAMS CO, 0.00, 0.00, 0.00, 0.00
WIN/WIN ACTION, 0.00, 0.00, 0.00, 0.00
WINE INSTITUTE, 0.00, 0.00, 0.00, 0.00
WITHIN REACH, 0.00, 0.00, 0.00, 0.00
WOODLAND PARK ZOO SOCIETY, 0.00, 0.00, 0.00, 0.00
WOODRING KYLE, 0.00, 0.00, 0.00, 0.00
WORKING WA, 0.00, 0.00, 0.00, 0.00
WRIGHT RUNSTAD & CO, 0.00, 0.00, 0.00, 0.00
YAHOO INC, 0.00, 0.00, 0.00, 0.00
YAKIMA CO, 0.00, 0.00, 0.00, 0.00
YAKIMA VALLEY LANDLORDS ASSN, 0.00, 0.00, 0.00, 0.00
YAKIMA VALLEY MEMORIAL HOSPITAL, 0.00, 0.00, 0.00, 0.00
YMCA'S OF WA STATE, 0.00, 0.00, 0.00, 0.00
YOUNGS HOLDINGS INC, 0.00, 0.00, 0.00, 0.00
YOUTH SUICIDE PREVENTION PROGRAM, 0.00, 0.00, 0.00, 0.00
YOUTHCARE, 0.00, 0.00, 0.00, 0.00
ZAYCON FOODS (THRU MULTISTATE), 0.00, 0.00, 0.00, 0.00
ZERO WASTE WA, 0.00, 0.00, 0.00, 0.00
