Bill,Flags,Title,Status,Veto,Date,Original Sponsor
"HB 1344","f","Nurse educator/pay forward","H Approps","","2/16/2015","Pollet"
"HB 1345","f","Professional learning","C 77 L 16","","3/31/2016","Lytton"
"HB 1346","","Hunting opportunity/st. land","H Gen Govt & Info","","2/13/2015","Blake"
"HB 1347","","Lyme disease treatment","H HC/Wellness","","1/19/2015","Blake"
"HB 1348","f#","Crisis intervention/officers","H Approps","","2/3/2015","Appleton"
"HB 1349","","Exempted info/public records","H subst for","","3/9/2015","Hunt, S."
"HB 1350","","Supreme crt election distr's","H Judiciary","","1/19/2015","Haler"
"HB 1351","f","Nat. guard/hunting license","H subst for","","2/17/2016","Blake"
"HB 1352","f","Hydroelectric generation","H Rules R","","2/19/2015","Nealey"
"HB 1353","f#","Good samaritan/disease tests","H Rules R","","2/17/2015","Robinson"
"HB 1354","f","Employee antiretaliation","H Approps","","2/5/2016","Ryu"
"HB 1355","f#","Minimum hourly wage increase","H Labor & Workpla","","1/11/2016","Farrell"
"HB 1356","f#","Sick & safe employment leave","H Labor & Workpla","","1/11/2016","Jinkins"
"HB 1357","f","Certificate of need req's","H HC/Wellness","","1/19/2015","MacEwen"
"HB 1358","f","Trans. project taxes & bonds","H Trans","","1/19/2015","MacEwen"
"HB 1359","fo#","Marijuana acquisition/adults","H Commerce & Gam","","1/19/2015","Moscoso"
"HB 1360","fo#","Marijuana products in public","H Commerce & Gam","","1/19/2015","Moscoso"
"HB 1361","fo","Marijuana consumption info","H Commerce & Gam","","1/19/2015","Hudgins"
"HB 1362","f","Growlers of wine, sales of","H Commerce & Gam","","1/19/2015","Wylie"
"HB 1363","f","H.S. certificates/graduation","H Education","","1/19/2015","Hunt, S."
"HB 1364","f","Citizens' initiative review","H State Governmen","","1/11/2016","Hunt, S."
"HB 1365","f","Autism & developmntal delays","H Approps","","2/5/2015","Riccelli"
"HB 1366","f","Resident'l habilitation ctrs","H Erly Lrn/H Svc","","1/19/2015","Johnson"
"HB 1367","f","Patients w/ devel disability","H Approps","","2/6/2015","Johnson"
"HB 1368","","Fire protection authorities","H subst for","","3/10/2015","Reykdal"
"HB 1369","f","Student volunteer healthcare","H subst for","","3/2/2015","Riccelli"
"HB 1370","f","Main street prog/tax credits","H Finance","","2/5/2015","Wylie"
"HB 1371","","Administrative procedures","H State Governme","","1/19/2015","Taylor"
"HB 1372","","Health care & human services","H Judiciary","","1/19/2015","Shea"
"HB 1373","f#","Growth mgmt planning req's","H Local Govt","","1/19/2015","Taylor"
"HB 1374","","Agency contract information","H Judiciary","","1/19/2015","Taylor"
"HB 1375","","Trespass on private property","H State Governme","","1/19/2015","Taylor"
"HB 1376","","Sectarian not-for-profit org","H Judiciary","","1/19/2015","Shea"
"HB 1377","","County auditors' names","H State Governme","","1/19/2015","Shea"
"HB 1378","","Synthetic plastic microbeads","H Environment","","1/19/2015","McBride"
"HB 1379","","Feb, April special elections","H State Governme","","1/19/2015","Shea"
"HB 1380","f","Wine manufacturer sp. permit","H Rules X","","3/4/2015","Wylie"
"HB 1381","f","Aluminum smelter tax prefs","H Finance","","2/20/2015","Buys"
"HB 1382","f","Basic firefighter training","H subst for","","3/2/2015","Griffey"
"HB 1383","f#","Community redevel. financing","H Comm Dev, Hous","","1/19/2015","Springer"
"HB 1384","f","Dental professionals","H HC/Wellness","","1/19/2015","Harris"
"HB 1385","","Revenue growth for education","H Approps","","1/19/2015","Magendanz"
"HB 1386","f","School employees/reductions","H Education","","1/19/2015","Magendanz"
"HB 1387","f#","Building officials","H Approps","","2/12/2015","Takko"
"HB 1388","fd","Legislation, testimony on","H State Governme","","1/19/2015","Riccelli"
"HB 1389","af#","State fire service/disasters","C 181 L 15","","5/7/2015","Goodman"
"HB 1390","f#","Legal financial obligations","H subst for","","3/9/2015","Goodman"
"HB 1391","fd","Aligning CTS, CIO, and DES","H subst for","","6/24/2015","Hudgins"
"HB 1392","afd#","Rec and conserv. funding brd","C 183 L 15","","5/7/2015","Stanford"
"HB 1393","f#","Public trans benefit area/tx","H Trans","","1/11/2016","Ortiz-Self"
"HB 1394","","Land use permit process","H Judiciary","","1/20/2015","Takko"
"HB 1395","fd","Stay-at-work & self-insured","H Approps","","1/11/2016","Springer"
"HB 1396","f","Alt fuel commercial vehicles","H Trans","","1/11/2016","Clibborn"
"HB 1397","fo","Financial reporting","H Rules 3C","","4/24/2015","Holy"
"HB 1398","f","Debt settlement services","H Bus & Fin Svcs","","1/20/2015","Kirby"
"HB 1399","fd#","Toxics control accounts","H Approps","","2/12/2015","Hudgins"
"HB 1400","f","Higher ed budget info/online","H Approps","","2/20/2015","Haler"
"HB 1401","f","Psych detention data/no bed","H HC/Wellness","","1/20/2015","Cody"
"HB 1402","","Prepackaged emer meds in ER","H HC/Wellness","","1/20/2015","Schmick"
"HB 1403","f","Telemedicine","H HC/Wellness","","1/11/2016","Bergquist"
"HB 1404","f","Trans proj/bistate wrk group","H Trans","","1/11/2016","Wylie"
"HB 1405","","Bistate transportation proj.","H Trans","","1/20/2015","Wylie"
"HB 1406","","Bistate megaproject/OFM role","H Trans","","1/20/2015","Moeller"
"HB 1407","f","Guardianship","H Judiciary","","1/11/2016","Jinkins"
"HB 1408","","Family engagemnt coordinator","H subst for","","3/2/2015","Ortiz-Self"
"EHB 1409","f","Vessel owner info disclosure","C 80 L 16","","3/31/2016","Walkinshaw"
"HB 1410","","Water-sewer distrcts/bidding","H subst for","","3/3/2015","Takko"
"HB 1411","","Marijuana facility siting","H Commerce & Gam","","1/20/2015","Moscoso"
"HB 1412","","Rec. marijuana facilities","H Commerce & Gami","","1/20/2015","Moscoso"
"HB 1413","","Rec. marijuana businesses","H Commerce & Gam","","1/20/2015","Moscoso"
"HB 1414","","Marijuana producers/tax exem","H Commerce & Gami","","1/20/2015","Moscoso"
"HB 1415","fo","Linked deposit program","H Bus & Fin Svcs","","1/11/2016","Kirby"
"HB 1416","f#","Water-sewer distr. lien docs","H Comm Dev, Hous","","1/20/2015","Wylie"
"HB 1417","","Water-sewer districts","H subst for","","3/6/2015","Takko"
"HB 1418","","Marijuana illegal production","H Commerce & Gami","","1/20/2015","Hudgins"
"HB 1419","f","State facility outings","H Judiciary","","1/20/2015","Ormsby"
"HB 1420","","School siting and aid","H subst for","","3/10/2015","Wilcox"
"HB 1421","f","Dental pro's, midlevel","H HC/Wellness","","1/20/2015","Cody"
"EHB 1422","af","Floral product businesses","C 168 L 15","","5/6/2015","Scott"
"HB 1423","","Female genital mutilation","H Public Safety","","1/20/2015","Scott"
"HB 1424","f","Suicide prevention","H subst for","","3/2/2015","Orwall"
"HB 1425","#","Advisory committees, etc.","H State Governme","","1/20/2015","Pollet"
"HB 1426","f#","Competency to stand trial","H Approps","","2/16/2015","Jinkins"
"HB 1427","f","Property tax relief programs","H Finance","","1/20/2015","Stokesbary"
"HB 1428","f#","Voter registration","H subst for","","3/4/2015","Fitzgibbon"
"HB 1429","","Liquor industry","H Commerce & Gami","","1/20/2015","Hunt, S."
"HB 1430","f#","State tree license plates","H subst for","","3/10/2015","Walkinshaw"
"HB 1431","","Real estate appraisals","C 150 L 15","","5/1/2015","Bergquist"
"HB 1432","f#","Class C felony equivalent","H Public Safety","","1/20/2015","Pettigrew"
"HB 1433","","Firearms in school zones","H Judiciary","","1/20/2015","Scott"
"HB 1434","","Forage fish spawning habitat","H Ag & Nat Res","","1/20/2015","Blake"
"HB 1435","","Ocean vessels/moorage facils","H Ag & Nat Res","","1/20/2015","Blake"
"HB 1436","fe","Homeless youth","H subst for","","3/4/2015","Kagi"
"HB 1437","fe","All payer claims database","H HC/Wellness","","1/11/2016","Cody"
"HB 1438","f#","Marijuana, prohibiting/vote","H Rules X","","2/26/2016","Sawyer"
"HB 1439","f","CWU online alt. credit model","H subst for","","3/5/2015","Sawyer"
"HB 1440","f#","Cell site simulator devices","H subst for","","3/4/2015","Taylor"
"HB 1441","f","Dental services for tribes","H Rules X","","2/26/2016","Sawyer"
"HB 1442","","Ammunition and firearm parts","H Judiciary","","1/21/2015","Hunt, G."
"EHB 1443","f#","Commercial parking/fees","H Rules 3C","","4/24/2015","Hunt, G."
"HB 1444","f","Property tax relief","H Finance","","1/21/2015","Hunt, G."
"HB 1445","f","Computer sci/world languages","H Hi Ed","","1/11/2016","Reykdal"
"HB 1446","","Youth internship opportunity","H Labor","","1/21/2015","Manweller"
"HB 1447","fd","Contractor fining by DES","H subst for","","3/3/2015","Holy"
"HB 1448","f#","Suicide threats, response to","H subst for","","3/9/2015","Riccelli"
"HB 1449","fe#","Oil transportation safety","H subst for","","3/5/2015","Farrell"
"HB 1450","f#","Mental health/inv outpatient","H subst for","","3/9/2015","Jinkins"
"HB 1451","f#","Civil commitment","H Judiciary","","1/21/2015","Rodne"
"HB 1452","f","State real estate asset mgmt","H Gen Govt & Inf","","1/21/2015","Pike"
"HB 1453","f#","Columbia River Gorge comm.","H Gen Govt & Info","","2/20/2015","Pike"
"HB 1454","","Industrial insurnce benefits","H Labor","","1/21/2015","Pike"
"HB 1455","","Prevailing wage/local govts","H Labor","","1/21/2015","Pike"
"HB 1456","","Prevailing wage/at work site","H Labor","","1/21/2015","Pike"
"HB 1457","","Liquor handling by employees","H Rules R","","2/19/2015","Springer"
"HB 1458","fd","Tobacco and vapor products","H Rules X","","1/28/2016","Orwall"
"HB 1459","fd","Healthpath WA/tax exclusions","H Finance","","1/28/2015","Cody"
"HB 1460","","Eviction records reporting","H Judiciary","","1/21/2015","Robinson"
"HB 1461","","Marijuana T.O.","H Commerce & Gami","","1/21/2015","Hurst"
"HB 1462","fd#","Investment pools/st & cnty","H Local Govt","","1/21/2015","Takko"
"HB 1463","f","Petition disclosure","H State Governme","","1/21/2015","Reykdal"
"HB 1464","fd","Public water syst assistance","H Rules R","","2/26/2015","Hudgins"
"EHB 1465","fd","Account for elevators, etc.","H Rules 3C","","3/29/2016","MacEwen"
"HB 1466","f","State agency data encryption","H Approps","","2/11/2015","Hudgins"
"HB 1467","f","State agency data encryption","H Gen Govt & Inf","","1/21/2015","Hudgins"
"HB 1468","f","Cybersecurity incident","H Rules C","","3/13/2015","Hudgins"
"HB 1469","f","Sensitive data/state network","H subst for","","3/11/2015","Hudgins"
"HB 1470","f#","Cybersecurity panel","H subst for","","3/2/2015","Hudgins"
"HB 1471","f","Health insurance contracting","H subst for","","3/9/2015","Cody"
"HB 1472","fe","Chemical action plans","H subst for","","3/11/2015","Fitzgibbon"
"HB 1473","","Fourth amendment protection","H Judiciary","","1/21/2015","Taylor"
"HB 1474","","Violent animals/self-defense","H Judiciary","","1/21/2015","Taylor"
"HB 1475","f","Longshore and harbor workers","H Bus & Fin Svcs","","1/11/2016","Kirby"
"HB 1476","","Mistreatmnt/faith-based exem","H Judiciary","","1/11/2016","Rodne"
"HB 1477","","Quarterly revenue forecasts","H Finance","","1/21/2015","MacEwen"
"HB 1478","","Liquor stocking/distributors","H Rules X","","1/28/2016","Condotta"
"HB 1479","f","Pacific std. time/year-round","H State Governme","","1/21/2015","Scott"
"HB 1480","f#","Intermittent-use trailers","H subst for","","3/9/2015","Holy"
"HB 1481","f#","Juvenile records and fines","H Erly Lrn/H Svc","","1/11/2016","Kagi"
"HB 1482","f","Regional higher ed capacity","H Approps","","2/16/2015","Pollet"
"HB 1483","","Investmnt income B&O deduct.","H Finance","","1/21/2015","Pollet"
"HB 1484","fd","Capital gains excise tax","H Finance","","1/21/2015","Jinkins"
"HB 1485","f","Family medicine residencies","H subst for","","3/9/2015","Haler"
"HB 1486","f","Vehicle tires max gross wgt","H Trans","","1/21/2015","Hayes"
"HB 1487","fd","Clean car stds and program","H Environment","","1/11/2016","Fey"
"HB 1488","f","Debt adjusting services","H Bus & Fin Svcs","","1/21/2015","Hudgins"
"HB 1489","f","Debt adjusting & management","H Bus & Fin Svcs","","1/21/2015","Ryu"
"HB 1490","","Debt adjusters and consumers","H Bus & Fin Svcs","","1/21/2015","Hudgins"
"HB 1491","f","Early care & education systm","H subst for","","3/9/2015","Kagi"
"HB 1492","fo","Technology literacy","H Approps","","2/20/2015","Magendanz"
"HB 1493","","Abortion, notifying parents","H HC/Wellness","","1/21/2015","Shea"
"HB 1494","f","Ticket brokers and resellers","H Tech &  Econ D","","1/21/2015","Zeiger"
"HB 1495","f","Student user privacy","H subst for","","3/3/2015","Reykdal"
"HB 1496","fd","Vocational rehabilitation","H subst for","","3/9/2015","Sells"
"HB 1497","f","School district's board","H Education","","1/21/2015","Pettigrew"
"HB 1498","","Adrenal insufficiency","H HC/Wellness","","1/21/2015","Goodman"
"HB 1499","f#","Vulnerable adults","H subst for","","2/16/2016","Goodman"
"HB 1500","f","Higher ed cost driver study","H Approps","","2/17/2015","Zeiger"
"HB 1501","f","Social services financing","H Approps","","2/20/2015","Zeiger"
"HB 1502","","Reproductive health care","H Judiciary","","1/21/2015","Jinkins"
"HB 1503","","Medical liens","H subst for","","3/9/2015","Jinkins"
"HB 1504","f","Hospital charity care","H HC/Wellness","","1/21/2015","Jinkins"
"HB 1505","f#","Juvenile restorative justice","H subst for","","3/9/2015","Goodman"
"HB 1506","","Security guards and firearms","H Judiciary","","1/21/2015","Kirby"
"HB 1507","f","Nursing home meals/sodium","H HC/Wellness","","1/21/2015","DeBolt"
"HB 1508","f#","Local forest fires/cnty mgmt","H Ag & Nat Res","","1/21/2015","Kretz"
"HB 1509","f","Forest fire suppression","H Ag & Nat Res","","1/21/2015","Kretz"
"HB 1510","","Work-related expenses reimb.","H Labor","","1/21/2015","Sells"
"HB 1511","f","Tribal history, culture, etc","H subst for","","3/4/2015","Ortiz-Self"
"HB 1512","","Peace officer disciplining","H Rules 3C","","3/10/2016","Sells"
"EHB 1513","f#","Local infrastructure areas","H Rules 3C","","4/24/2015","Springer"
"HB 1514","f","Dental office support","H Rules R","","3/9/2015","Jinkins"
"HB 1515","f#","Motorcycles on laned roads","H Trans","","1/22/2015","MacEwen"
"HB 1516","f","Lodging services/tax exem.","H subst for","","3/5/2015","Pettigrew"
"HB 1517","f#","Liquor revenue distribution","H Approps","","1/22/2015","Reykdal"
"HB 1518","f#","Wage liens/wage recovery act","H Approps","","2/6/2015","Gregerson"
"HB 1519","f","Employee status enforcement","H Approps","","2/6/2015","Riccelli"
"HB 1520","","Private property forfeiture","H Judiciary","","1/22/2015","Taylor"
"HB 1521","","Dealer delivery of firearms","H Judiciary","","1/22/2015","Taylor"
"HB 1522","f","Intrastate meat inspection","H Approps","","2/18/2015","Taylor"
"HB 1523","","Water rights relinquishment","H Ag & Nat Res","","1/22/2015","Taylor"
"HB 1524","f","Nonparent responsibilities","H Judiciary","","1/22/2015","Caldier"
"HB 1525","f#","Beverage containers","H Rules R","","2/5/2016","Caldier"
"HB 1526","f","Aircraft tax rev/airport aid","H Approps","","1/22/2015","Dent"
"HB 1527","f","Pesticide licensees","H subst for","","3/3/2015","Dent"
"HB 1528","f","Epinephrine autoinjectors","H Rules X","","2/26/2016","Robinson"
"HB 1529","","Port district per diem rates","H Local Govt","","1/11/2016","Tharinger"
"HB 1530","f","Prepared food, definition","H Finance","","1/22/2015","Wylie"
"HB 1531","fd","Long-term care workers","C 152 L 15","","5/1/2015","Tharinger"
"HB 1532","f","Higher ed budget submissions","H Rules X","","2/2/2016","Smith"
"HB 1533","","Firearm transfer for exhibit","H Judiciary","","1/22/2015","Van Werven"
"HB 1534","f#","Fuel tax/border area use","H Trans","","1/22/2015","Van Werven"
"HB 1535","","Firearm dealer deliveries","H Judiciary","","1/22/2015","Klippert"
"HB 1536","f","Emergency detentions","H subst for","","3/9/2015","Klippert"
"HB 1537","fo","Liquor control brd officers","H Approps","","2/20/2015","Moscoso"
"HB 1538","","Education employee COLAs","H Approps","","1/22/2015","Sells"
"HB 1539","f","Hardship property tx waivers","H Rules R","","2/27/2015","Moeller"
"HB 1540","f","Tribal timber harvest exc tx","H Finance","","2/20/2015","Kretz"
"HB 1541","","Educational opportunity gap","H subst for","","3/5/2015","Santos"
"HB 1542","","PERS, TRS, SERS/earlier ages","H Approps","","1/22/2015","Hunt, S."
"HB 1543","f","1st mortgage int. B&O deduc.","H Finance","","1/22/2015","Blake"
"HB 1544","","Water services procurement","H Local Govt","","1/22/2015","Dent"
"HB 1545","f#","Public health nurses/meds","H Rules 3C","","4/24/2015","Robinson"
"HB 1546","fd","Dual credit ed opportunities","H subst for","","3/10/2015","Reykdal"
