 , Total Compensation, Total Personal Expenses, Total Entertainment, Total Contributions, Total Advertising, Total Political Ads, Total Other Expenses, Totals
STAUFFACHER BILL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
STAUFFACHER COMMUNICATIONS* , 300799.99, 1329.35, 3812.03, 0.00, 0.00, 0.00, 0.00, 305941.37
STEBBINS ERNEST, 562.80, 0.00, 807.43, 200.00, 2054.26, 68319.69, 0.00, 71944.18
STECHER DONALD, 2300.00, 2179.51, 332.00, 0.00, 0.00, 0.00, 0.00, 4811.51
STEELE DANIEL, 13612.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 13612.50
STEPHEN JANE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
STEVENS LAWRENCE, 50000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 50000.00
STEVENSON KRAIG, 5011.26, 1230.12, 0.00, 0.00, 35.00, 0.00, 0.00, 6276.38
STEWART CHERYL, 5964.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5964.00
STEWART MELANIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
STEWART SARA, 19500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 19500.00
STOLL JENNIFER, 14250.00, 20.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14270.00
STOLZ RICHARD, 800.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 800.00
STRANNIGAN GARY, 15000.00, 0.00, 275.29, 8250.00, 0.00, 0.00, 0.00, 23525.29
STRATEGIES 360* , 327163.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 319913.00
STRAUSS DANIEL, 3520.00, 687.00, 0.00, 0.00, 240.00, 0.00, 0.00, 4447.00
STREGE NEIL, 9468.00, 151.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9619.00
STREULI MARK, 4000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4000.00
STRICKLAND KAREN, 1803.29, 285.61, 0.00, 0.00, 0.00, 0.00, 0.00, 2088.90
STRODE EMILY, 1968.00, 600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2568.00
STROM ERIK, 25000.00, 262.68, 0.00, 0.00, 0.00, 0.00, 0.00, 25262.68
STROTHER KELLI, 594.98, 883.79, 0.00, 0.00, 0.00, 0.00, 0.00, 1478.77
STROW CHRIS, 56250.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 56250.00
STRUYK WILLIAM, 20000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20000.00
STUHLMILLER JOHN, 10000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10000.00
SULLIVAN EILEEN, 767.33, 0.00, 0.00, 1269.54, 0.00, 0.00, 0.00, 2036.87
SULLIVAN MARIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SWANSON AXEL, 346.16, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 346.16
SWANSON JOSHUA, 32220.33, 0.00, 0.00, 15500.00, 0.00, 0.00, 0.00, 47720.33
SWARTHOUT SANDI, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SWARTLEY DAVID, 252.54, 229.14, 0.00, 4500.00, 0.00, 0.00, 0.00, 4981.68
SWECKER DANIEL, 20500.00, 0.00, 0.00, 600.00, 0.00, 0.00, 0.00, 21100.00
T K BENTLER/PUBLIC AFFAIRS ASSOC* , 228437.50, 7009.95, 0.00, 0.00, 0.00, 0.00, 0.00, 235387.45
TALLMAN SHEELA, 2248.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2248.70
TAMAYO MURRAY JOSEPHINE, 342.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 342.62
TAUBENECK BRIAN, 6639.00, 850.00, 0.00, 0.00, 22.00, 0.00, 0.00, 7511.00
TAYLOR MARCIE, 180.00, 0.00, 0.00, 0.00, 674.05, 0.00, 0.00, 854.05
TEAGUE JAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TEFFT KRISTOPHER, 17350.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 17350.00
TELLEFSON CARRIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TEMPLE MICHAEL, 140000.00, 5287.46, 0.00, 0.00, 0.00, 0.00, 0.00, 145287.46
TERWILLEGER KAREN, 5100.00, 56.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5156.00
THATCHER LISA, 332891.39, 3045.64, 145.39, 0.00, 0.00, 0.00, 0.00, 336082.42
THE TSB GROUP* , 130650.00, 2916.72, 409.92, 0.00, 0.00, 0.00, 0.00, 133976.64
THOMAS MICHELE, 3217.19, 289.87, 0.00, 0.00, 0.00, 0.00, 0.00, 3507.06
THOMPSON ADRIENNE, 16700.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 16700.00
THOMPSON COLLEEN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
THOMPSON J PAT, 9718.76, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9718.76
THOMPSON JAMES, 14666.66, 0.00, 87.74, 0.00, 0.00, 0.00, 0.00, 14754.40
THOMPSON ROWLAND, 30000.00, 903.76, 897.59, 0.00, 0.00, 0.00, 0.00, 31801.34
THOMPSON TIMOTHY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
THOMPSON CONSULTING GROUP* , 4000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4000.00
THOMS ROBERT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TIBBS CHRIS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TIBERIO ARMAND, 0.00, 0.00, 0.00, 1704.28, 0.00, 0.00, 0.00, 1704.28
TILTON TERRY, 14000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 14000.00
TINNEY KATIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TODD LANI, 41346.74, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 41346.74
TORRES TERESITA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TOWER BRADLEY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TOWER LTD* , 118449.00, 1344.71, 97.95, 0.00, 0.00, 0.00, 0.00, 119891.66
TRACY SUSAN, 113444.31, 0.00, 266.67, 0.00, 0.00, 0.00, 0.00, 113710.98
TRAISMAN CLIFFORD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TRANSUE MICHAEL, 123250.00, 3013.88, 0.00, 0.00, 0.00, 0.00, 0.00, 80470.93
TRASK BLAKE, 4266.66, 289.44, 0.00, 0.00, 0.00, 0.00, 0.00, 4556.10
TRASK TED, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TRAUTMAN ELIZABETH, 148.55, 75.13, 0.00, 0.00, 0.00, 0.00, 0.00, 223.68
TRETWOLD JERRY, 0.00, 0.00, 125.91, 0.00, 0.00, 0.00, 0.00, 125.91
TRUE JACQUELINE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TRUPIN CASEY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TULL ANDREA, 10000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 10000.00
ULVENES AMBER, 34250.00, 402.76, 0.00, 0.00, 0.00, 0.00, 0.00, 34652.76
UMAN JESSE, 32846.00, 1504.50, 0.00, 0.00, 0.00, 0.00, 480.57, 34831.07
VALDEZ JAIMES, 1301.43, 691.87, 0.00, 0.00, 0.00, 0.00, 0.00, 1993.00
VALERIANO LAURIE, 3800.00, 2035.80, 0.00, 0.00, 0.00, 0.00, 0.00, 5835.80
VAN CLEVE MARY, 515.75, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 515.75
VAN NATTA KATHRYN, 226.95, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 226.95
VANCE CHRIS, 25000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 25000.00
VANDER STOEP J, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
VANDERWOOD JERRY, 11458.30, 0.00, 395.49, 16035.05, 0.00, 0.00, 30527.66, 58416.50
VARON JANET, 1045.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1045.00
VELORIA VELMA, 5331.60, 442.80, 0.00, 0.00, 0.00, 0.00, 0.00, 4482.40
VENA BRANDI, 9333.34, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9333.34
VILLANUEVA HEATHER, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
VINING ANN, 983.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 983.46
VISKOVICH STEPHANIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
VOGEL DAVID, 388.30, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 388.30
VYVYAN DAWN, 72392.63, 482.37, 0.00, 0.00, 0.00, 0.00, 0.00, 72875.00
WA MEDIA SVCS INC* , 13331.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 13331.25
WA RESTAURANT ASSN , 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WA ST NURSES ASSN , 6000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6000.00
WAHL BRYAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WALGREN GORDON, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WALL JANE, 161.04, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 161.04
WALLACE BILLY, 7096.23, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6368.23
WARBROUCK RICHARD, 6600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6600.00
WARNKE JEFF, 5500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5500.00
WARNKE TAMARA, 43900.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 43900.00
WARREN DAVID, 19300.00, 0.00, 22.00, 0.00, 0.00, 0.00, 0.00, 19322.00
WASHINGTON 2 ADVOCATES* , 20375.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20375.00
WATKINS MARILYN, 989.59, 637.20, 992.12, 98.96, 0.00, 0.00, 0.00, 2717.87
WAYPOINT CONSULTING GROUP* , 171900.00, 18.43, 0.00, 10000.00, 0.00, 0.00, 15000.00, 196918.43
WEAVER RHONDA, 20000.00, 0.00, 0.00, 27846.95, 0.00, 0.00, 0.00, 47846.95
WEBSTER CLIFFORD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WEISS JOSH, 2913.35, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2913.35
WELCH MIKE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WELLS LAURA, 1290.74, 836.50, 0.00, 0.00, 0.00, 0.00, 0.00, 2127.24
WERSCHKUL MISHA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WESTBERG DAVID, 5060.05, 804.93, 0.00, 300.00, 0.00, 0.00, 125.00, 6289.98
WESTSOUND STRATEGIC PARTNERS LLC* , 2000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2000.00
WHEELER SHAUNIE, 9463.80, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 9463.80
WHITE ALISON, 131.46, 109.57, 0.00, 0.00, 0.00, 0.00, 0.00, 241.03
WHITE MICHAEL, 7171.20, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7171.20
WHITE RICHARD, 13959.00, 0.00, 0.00, 0.00, 0.00, 0.00, 208.13, 14167.13
WHITE TUDOR KATHERINE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WHITE TUDOR LLC* , 60255.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 47804.00
WHITEAKER CHELENE, 240.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 240.00
WHITING SAM, 1228.01, 0.00, 0.00, 0.00, 0.00, 0.00, 4734.86, 5962.87
WHITNEY TERRY, 19164.00, 2041.00, 0.00, 0.00, 0.00, 0.00, 4200.00, 25405.00
WICKMAN RICK, 68750.00, 232.79, 0.00, 0.00, 0.00, 0.00, 727.87, 69710.66
WIEST BRENDA, 44021.30, 0.00, 0.00, 14123.80, 257.56, 0.00, 35688.90, 94091.56
WIGGINS KRISTIN, 781.25, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 781.25
WILLIAMS DAVID, 667.47, 0.00, 15536.64, 0.00, 0.00, 0.00, 0.00, 16204.11
WILLIAMS TONY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WILLMS JOYCE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WILLMS MICHELE, 6062.10, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6062.10
WILSON RICHARD, 0.00, 0.00, 0.00, 10.00, 0.00, 0.00, 0.00, 0.00
WILSON-CODEGA LILY, 43097.05, 0.00, 0.00, 54892.00, 0.00, 0.00, 0.00, 97989.05
WISHART BRUCE, 39900.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 39900.00
WOLDT ALICE, 275.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 275.50
WONG CHRISTINA, 4904.29, 1451.53, 0.00, 0.00, 40.17, 0.00, 1108.97, 7504.96
WOOD DAN, 20000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 20000.00
WOOD RICH, 0.00, 0.00, 0.00, 1494.10, 0.00, 0.00, 0.00, 1494.10
WOODRING KYLE, 42690.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7130.00
YADON BRYCE, 3146.49, 0.00, 0.00, 125.00, 0.00, 0.00, 0.00, 3271.49
YALOWITZ ADAM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
YANCEY FREDERICK, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
YANDLE ANITA, 22500.00, 3200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 25700.00
YOUMANS DAN, 11325.00, 1200.00, 0.00, 100.00, 0.00, 0.00, 0.00, 12325.00
YOUNG LUCINDA, 24626.54, 474.38, 66.96, 1363.56, 0.00, 0.00, 0.00, 26531.44
YUAN GRACE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ZAJAC THEA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ZEHNDER CYNTHIA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ZIEGLER JENNIFER, 175865.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 175865.00
ZUKOSKI ROBIN, 2143.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2143.50
ZULOCK ABBIE, 990.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 990.00
ZUVICH MATT, 35060.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 35060.00
ZVARA SYDNEY, 7500.00, 1174.70, 0.00, 0.00, 0.00, 0.00, 0.00, 8674.70
