Bill,Flags,Title,Status,Veto,Date,Original Sponsor,Committee Sponsor,Companion Bills,Last Roll Call,Latest Committee Recommendation,Sponsor (combined),Secondary Sponsor,This Committee Recommendation
"HB 2802","","Cannabis producer services","H Rules X","","2/26/2016","Wylie","","","","DPS9 (COG 16)","Wylie","Vick",""
"HB 2803","f","Prevailing wage compliance","H Rules X","","2/26/2016","Ormsby","","SB 6572(S Commerce and L)","","DP4 DNP2 (LAWS 16)","Ormsby","Sells",""
"HB 2804","f","Contracted highway workers","H subst for","","2/12/2016","Haler","","","","DPS11 DNP2 (HE 16)","Haler","Clibborn",""
"HB 2805","f","Firefighter hazard. exposure","H subst for","","2/11/2016","Reykdal","","","","DPS5 DNP1 (LAWS 16)","Reykdal","Griffey",""
"HB 2806","f#","Occup. disease presumptions","H Rules 3C","","3/10/2016","Kuderer","","SB 6520(S Commerce and L)","62-35-0-0","DP4 DNP2 (LAWS 16)","Kuderer","Gregerson",""
"HB 2807","f","Heavy haul industr corridors","C 26 L 16","","3/25/2016","Dye","","","46-1-0-2","DP12 (TRAN 16)","Dye","Moscoso",""
"HB 2808","a","Invol. treat. petitions","C 107 L 16","","3/31/2016","Jinkins","","","96-0-0-2","DPA5 (HSMH 16)","Jinkins","Kilduff",""
"HB 2809","f","High-technology research","H Finance","","1/21/2016","Sullivan","","SB 6355(S Ways & Means)","","","Sullivan","Manweller",""
"HB 2810","","Electrical rules review","H Labor & Workpl","","1/21/2016","Taylor","","","","","Taylor","Gregerson",""
"HB 2811","","Landlord-tenant provisions","H Rules X","","2/26/2016","Walkinshaw","","ESB 6413(C 66 L 16)","","DPS13 (JUDI 16)","Walkinshaw","Harris",""
"HB 2812","f#","Aggravated theft or robbery","H Rules X","","2/26/2016","Goodman","","","","DP9 (PS 16)","Goodman","Hawkins",""
"HB 2813","","Mobile home landlord-tenant","H Judiciary","","1/21/2016","Shea","","","","","Shea","",""
"HB 2814","","Areas for shooting/GMA","H Local Govt","","1/21/2016","Klippert","","","","","Klippert","Blake",""
"HB 2815","f#","Regional transp. plan. orgs.","C 27 L 16","","3/25/2016","Hayes","","","43-3-0-3","DP11 (TRAN 16)","Hayes","Smith",""
"HB 2816","f#","Trans. benefit district tax","H Trans","","1/21/2016","Muri","","","","","Muri","Fey",""
"HB 2817","f","Corrections ombuds, creating","H Approps","","2/5/2016","Moscoso","","SB 6154(S Rules X)","","DP5 DNP3 w/oRec1 (PS 16)","Moscoso","Pettigrew",""
"HB 2818","f#","Covering of loads on highway","H Trans","","1/21/2016","Kilduff","","","","","Kilduff","Muri",""
"HB 2819","","Dental licensure/residency","H HC/Wellness","","1/21/2016","Riccelli","","SB 6404(S Health Care)","","","Riccelli","Schmick",""
"HB 2820","f","Comm. & tech. college access","H Approps","","2/5/2016","Pollet","","","","DPS7 DNP5 w/oRec1 (HE 16)","Pollet","Zeiger",""
"HB 2821","","Vehicle reports of sale","H Trans","","1/21/2016","Harmsworth","","","","","Harmsworth","Bergquist",""
"HB 2822","","Underservd grps/I-200 repeal","H Cap Budget","","1/21/2016","Santos","","","","","Santos","Pettigrew",""
"HB 2823","f#","School violence reports","H Rules X","","2/26/2016","Parker","","","","DP2S(w/o sub ED)28 DNP1 (APP 16)","Parker","Riccelli",""
"HB 2824","","Public school ed. success","H Education","","1/21/2016","Sawyer","","","","","Sawyer","",""
"HB 2825","f","Disabled student services","H subst for","","2/15/2016","Frame","","SB 6466(S subst for)","","DPS12 (HE 16)","Frame","Zeiger",""
"HB 2826","f","Energy strategy document","H Rules R","","2/5/2016","DeBolt","","","","DPS13 (TED 16)","DeBolt","Morris",""
"HB 2827","","Fuel mix disclosure","H Tech &  Econ De","","1/21/2016","DeBolt","","","","","DeBolt","",""
"HB 2828","","Potentially unstable slopes","H Ag & Nat Res","","1/21/2016","Stanford","","SB 6280(S Natural Resour)","","","Stanford","Tarleton",""
"HB 2829","","Collective bargaining","H Labor & Workpla","","1/22/2016","Chandler","","","","","Chandler","Manweller",""
"HB 2830","f","Fiscal notes & impact stmnts","H Approps","","1/22/2016","Chandler","","","","","Chandler","",""
"HB 2831","f","Small business liquor sales","H subst for","","2/16/2016","Hurst","","","","DPS9 (COG 16)","Hurst","",""
"HB 2832","fd","Physician limited licenses","H Rules X","","2/26/2016","Tharinger","","","","DP15 (HCW 16)","Tharinger","Riccelli",""
"HB 2833","f","Educational grant program","H Approps","","2/5/2016","Young","","","","DPS18 DNP3 (ED 16)","Young","Santos",""
"HB 2834","fd","Homeless youth","H subst for","","2/15/2016","Senn","","","","DPS8 DNP3 (ELHS 16)","Senn","Walsh",""
"HB 2835","f#","Dementia public info. system","H Rules R","","2/5/2016","Tharinger","","","","DPS15 (HCW 16)","Tharinger","Cody",""
"HB 2836","","Firearm liability insurance","H Judiciary","","1/22/2016","Farrell","","","","","Farrell","Frame",""
"HB 2837","","School class size task force","H Rules R","","2/11/2016","Farrell","","","","","Farrell","Pollet",""
"HB 2838","fd","DOC limits on contact","C 108 L 16","","3/31/2016","Klippert","","","47-2-0-0","DP7 (LAW 16)","Klippert","Hayes",""
"HB 2839","f","Airplane repair taxes","H subst for","","3/4/2016","Springer","","SB 6454(S Ways & Means)","","DP2S(w/o sub FIN)28 DNP5 (APP 16)","Springer","Nealey",""
"HB 2840","f","Water discharge permits","H Ag & Nat Res","","1/22/2016","Pettigrew","","SB 6568(S Rules X)","","","Pettigrew","Chandler",""
"HB 2841","f#","State building code council","H subst for","","2/16/2016","Senn","","","","DPS(LG)7 (GGIT 16)","Senn","Buys",""
"HB 2842","f#","State-owned land/private dev","C 192 L 16","","4/1/2016","Schmick","","SB 6580(S Rules X)","48-0-0-1","DP18 w/oRec2 (WM 16)","Schmick","Wylie",""
"HB 2843","f","Affordable housing support","H Finance","","2/5/2016","McBride","","","","DPS4 w/oRec3 (CDHT 16)","McBride","Stanford",""
"HB 2844","f","Responsible bidder criteria","H Rules 3C","","3/10/2016","Ormsby","","SB 6571(S Commerce and L)","50-45-0-2","DP17 DNP14 (APP 16)","Ormsby","Sells",""
"HB 2845","f","Prevailing wage law recovery","H Rules 3C","","3/10/2016","Ormsby","","SB 6575(S Commerce and L)","92-6-0-0","DP7 (CL 16)","Ormsby","Sells",""
"HB 2846","f","Apprenticeship utilization","H Rules R","","2/4/2016","Ormsby","","SB 6574(S Commerce and L)","","DP4 DNP2 (LAWS 16)","Ormsby","Sells",""
"HB 2847","","Disability retrofitting","H subst for","","2/16/2016","Rossetti","","","","DPS10 DNP1 (ENVI 16)","Rossetti","",""
"HB 2848","","Corps. & money in politics","H State Governme","","1/22/2016","Frame","","SB 6505(S GovtOp&Sec)","","","Frame","Kuderer",""
"HB 2849","f#","Commissioned court marshals","H subst for","","2/11/2016","Goodman","","SB 6417(S Commerce and L)","","DPS6 (LAWS 16)","Goodman","Springer",""
"HB 2850","","Incarceration/cont. of care","H HC/Wellness","","1/22/2016","Walkinshaw","","SB 6430(S subst for)","","","Walkinshaw","Robinson",""
"HB 2851","f","School director compensation","H subst for","","2/11/2016","Frame","","SB 6259(S Rules X)","","DPS16 DNP5 (ED 16)","Frame","Magendanz",""
"HB 2852","f#","Election data and reporting","H subst for","","2/12/2016","Hudgins","","","","DPS7 (SG 16)","Hudgins","Hunt, S.",""
"HB 2853","f#","Election admin. cert. reqs.","H Rules R","","2/9/2016","Hudgins","","","","DPS(SG)6 DNP1 (GGIT 16)","Hudgins","Hunt, S.",""
"HB 2854","f","Ballot rejection survey","H Rules R","","2/5/2016","Hudgins","","","","DP7 (SG 16)","Hudgins","Hunt, S.",""
"HB 2855","f","TRS military service credit","H Approps","","1/22/2016","Sells","","","","","Sells","Kilduff",""
"HB 2856","af#","Office of Chehalis basin","C 194 L 16","","4/1/2016","DeBolt","","","91-5-0-2","DPA20 w/oRec1 (WM 16)","DeBolt","Tharinger",""
"HB 2857","f","Sustainable wood materials","H Finance","","2/4/2016","Blake","","","","DPS12 (AGNR 16)","Blake","Harris",""
"HB 2858","f#","Dev. disability ombuds","H Approps","","2/5/2016","Hunt, S.","","","","DP11 (ELHS 16)","Hunt, S.","Hudgins",""
"HB 2859","f#","Credit report freezes","H subst for","","2/17/2016","Hunt, S.","","","","DPS11 (BFS 16)","Hunt, S.","Hudgins",""
"HB 2860","","Res. habilitation centers","H Erly Lrn/H Svc","","1/25/2016","Johnson","","","","","Johnson","Appleton",""
"HB 2861","","Chiropractic service payment","H HC/Wellness","","1/25/2016","Schmick","","","","","Schmick","Cody",""
"HB 2862","f#","School district fiscal notes","H Approps","","2/5/2016","Rossetti","","","","DP20 DNP1 (ED 16)","Rossetti","Santos",""
"HB 2863","f","Drinking water supply projs.","H Rules X","","2/26/2016","McCabe","","","","DP5 DNP3 (CB 16)","McCabe","Blake",""
"HB 2864","f#","Trans. benefit tax increase","H Trans","","1/25/2016","Hunt, S.","","SB 6590(S Transportation)","","","Hunt, S.","Reykdal",""
"HB 2865","","Hospitals/ARNPs & PAs","H Rules R","","2/2/2016","Cody","","","","DPS12 (HCW 16)","Cody","Harris",""
"HB 2866","","PNWER council creation comm.","H Tech &  Econ D","","1/25/2016","Johnson","","SB 6479(S Trade & Econom)","","","Johnson","Tarleton",""
"HB 2867","","Higher ed. conceal carry","H Judiciary","","1/25/2016","Scott","","","","","Scott","Shea",""
"HB 2868","f","Career & tech. ed. materials","H Approps","","1/25/2016","Reykdal","","","","","Reykdal","Walsh",""
"HB 2869","","Isolating incapacit. person","H Judiciary","","1/25/2016","Jinkins","","SB 6619(S Law & Justice)","","","Jinkins","Rodne",""
"HB 2870","","DFW public access reqs.","H Ag & Nat Res","","1/25/2016","Taylor","","","","","Taylor","Dent",""
"HB 2871","f","Patient out-of-pocket costs","H subst for","","2/17/2016","Cody","","","","DPS15 (HCW 16)","Cody","Harris",""
"HB 2872","f","WSP recruitment & retention","H subst for","","3/2/2016","Fey","","","","DP2S(w/o sub TR)32 DNP1 (APP 16)","Fey","Hayes",""
"HB 2873","f#","Sex offenses/statute of lim.","H Gen Govt & Info","","2/5/2016","Griffey","","","","DPS9 (PS 16)","Griffey","Orwall",""
"HB 2874","f","TANF income eligibility","H Rules R","","2/9/2016","Pettigrew","","","","DPS19 DNP12 (APP 16)","Pettigrew","Walsh",""
"HB 2875","f","Office of data privacy, etc.","H subst for","","2/15/2016","Smith","","","","DPS(TED)6 (GGIT 16)","Smith","Morris",""
"HB 2876","f","Deed of trust foreclosure","H subst for","","2/16/2016","Orwall","","","","DPS(JUDI)31 (APP 16)","Orwall","Kirby",""
"HB 2877","f","SNAP benefit dist. dates","H subst for","","2/17/2016","Hickel","","SB 6535(S Ways & Means)","","DP2S(w/o sub ELHS)33 (APP 16)","Hickel","Zeiger",""
"HB 2878","f#","Child abuse penalty assessm.","H Rules R","","2/5/2016","Kilduff","","","","DPS9 (PS 16)","Kilduff","Robinson",""
"HB 2879","f","Tax incentives report&survey","H Finance","","1/25/2016","Nealey","","","","","Nealey","Springer",""
"HB 2880","","Group health plan benefits","H HC/Wellness","","1/25/2016","Cody","","SB 6536(S subst for)","","","Cody","Schmick",""
"HB 2881","f","Educator shortage","H Education","","1/25/2016","Pollet","","","","","Pollet","Reykdal",""
"HB 2882","f#","Deadly force data collection","H Rules R","","2/5/2016","Appleton","","SB 6294(S Law & Justice)","","DP5 DNP4 (PS 16)","Appleton","Moscoso",""
"EHB 2883","fd","State agency reports","C 197 L 16","","4/1/2016","Senn","","","44-2-0-3","DP6 (GOS 16)","Senn","Chandler",""
"HB 2884","f","Alt. fuel comm. vehicles","H subst for","","2/17/2016","Clibborn","","","","DPS(TR)15 (FIN 16)","Clibborn","Fey",""
"HB 2885","f","Maternal mortality review","H Approps","","2/5/2016","Stambaugh","","SB 6534(S subst for)","","DPS15 (HCW 16)","Stambaugh","Cody",""
"HB 2886","f","Electrical scope of practice","C 198 L 16","","4/1/2016","Manweller","","","47-1-0-1","DP7 (CL 16)","Manweller","",""
"HB 2887","","Grad. student loans study","H Hi Ed","","1/25/2016","Haler","","SB 6609(S Higher Ed)","","","Haler","Sells",""
"HB 2888","","Cetacean captivity","H Rules 3C","","3/10/2016","Van De Wege","","SB 6582(S Natural Resour)","64-33-0-0","DP7 DNP5 w/oRec1 (AGNR 16)","Van De Wege","Pettigrew",""
"HB 2889","","School board absences","H Education","","1/25/2016","Short","","","","","Short","Kretz",""
"HB 2890","","Higher ed. plans for voting","H Hi Ed","","1/25/2016","Haler","","SB 6474(S Higher Ed)","","","Haler","Zeiger",""
"HB 2891","f#","DFW payments in lieu of tax","H Approps","","1/25/2016","Haler","","","","","Haler","",""
"HB 2892","f","Electric fuel mix info.","H Rules X","","2/26/2016","DeBolt","","","","DP7 (GGIT 16)","DeBolt","Morris",""
"HB 2893","","Invol. treatment determs.","H Judiciary","","1/25/2016","Kuderer","","","","","Kuderer","Robinson",""
"HB 2894","","Workplace bullying","H Labor & Workpl","","1/26/2016","Cody","","SB 6532(S Commerce and L)","","","Cody","Appleton",""
"HB 2895","f#","Alien victims of crime","H subst for","","2/12/2016","MacEwen","","","","DPS(PS)29 DNP1 w/oRec1 (APP 16)","MacEwen","",""
"HB 2896","","Oil spill planning reqs.","H Environment","","1/26/2016","Moscoso","","","","","Moscoso","Dye",""
"HB 2897","","Unlawful activity/properties","H Judiciary","","1/26/2016","Zeiger","","","","","Zeiger","Kirby",""
"HB 2898","f","Wholesale vehicle dealers","H Rules X","","2/26/2016","Clibborn","","SB 6606(S subst for)","","DPS10 (BFS 16)","Clibborn","Moscoso",""
"HB 2899","f#","Financial fraud instruments","H Gen Govt & Info","","2/5/2016","Kirby","","","","DP9 (PS 16)","Kirby","Ryu",""
"HB 2900","f#","Corr. inst. prohibited items","H subst for","","2/16/2016","Klippert","","","","DPS9 (PS 16)","Klippert","Haler",""
"HB 2901","","Landlord utility costs","H Judiciary","","1/26/2016","Vick","","SB 6546(S Fin Inst/Ins)","","","Vick","",""
"HB 2902","","Charter school tax credit","H Finance","","1/26/2016","Hargrove","","","","","Hargrove","Magendanz",""
"HB 2903","f#","Electronic product recycling","H Environment","","1/26/2016","Peterson","","SB 6378(S Energy, Enviro)","","","Peterson","Ortiz-Self",""
"HB 2904","f","Issuer payment acceptance","H Rules R","","2/5/2016","Blake","","","","DPS15 (HCW 16)","Blake","Rossetti",""
"HB 2905","f","Collector license plates","H Trans","","1/26/2016","Sells","","","","","Sells","Moscoso",""
"HB 2906","f#","Juvenile offenders reintegr.","H subst for","","2/15/2016","Stambaugh","","","","DPS10 w/oRec1 (ELHS 16)","Stambaugh","Kagi",""
"HB 2907","f#","Officer use of deadly force","H Public Safety","","1/27/2016","Moscoso","","","","","Moscoso","Appleton",""
"HB 2908","f#","Community policing standards","H subst for","","2/16/2016","Ryu","","","","DPS9 (PS 16)","Ryu","Ortiz-Self",""
"HB 2909","","Invol. outpatient treatment","H Judiciary","","1/27/2016","Cody","","","","","Cody","Ortiz-Self",""
"HB 2910","f#","E-cigarettes, vapor products","H Commerce & Gam","","1/27/2016","Harris","","","","","Harris","Cody",""
"HB 2911","f","Tuition/activities fees","H Hi Ed","","1/27/2016","Reykdal","","","","","Reykdal","Stambaugh",""
"HB 2912","f#","Crime victim participation","H Public Safety","","1/27/2016","Pettigrew","","","","","Pettigrew","Moscoso",""
"HB 2913","d","Child support noncompliance","H Rules R","","2/5/2016","Gregerson","","","","DP7 DNP5 w/oRec1 (JUDI 16)","Gregerson","Kilduff",""
"HB 2914","f","WSP officer salary funding","H Trans","","1/27/2016","Kirby","","","","","Kirby","Reykdal",""
"HB 2915","d","DSHS notification reqs.","H 2nd Reading","","3/28/2016","Kilduff","","SB 6495(S Rules X)","","","Kilduff","Goodman",""
"HB 2916","f#","Exchange facilitators","H Bus & Fin Svcs","","1/27/2016","Ryu","","","","","Ryu","",""
"HB 2917","f","Commercial janitor injuries","H Rules R","","2/9/2016","Gregerson","","","","DP17 DNP14 (APP 16)","Gregerson","Sells",""
"HB 2918","","City traffic schools","C 201 L 16","","4/1/2016","Gregerson","","","48-0-0-1","DP5 (GOS 16)","Gregerson","Pike",""
"HB 2919","","College readiness assessment","H Education","","1/27/2016","Riccelli","","SB 6473(S EL/K-12)","","","Riccelli","Parker",""
"HB 2920","f","Fred Hutch license plates","H Trans","","1/27/2016","Pettigrew","","","","","Pettigrew","Kagi",""
"HB 2921","f","Prof. educator workforce","H Education","","1/27/2016","Hickel","","SB 6455(S subst for)","","","Hickel","Stambaugh",""
"HB 2922","","Digital indep. contractors","H Labor & Workpl","","1/27/2016","Manweller","","SB 6289(S subst for)","","","Manweller","Springer",""
"HB 2923","f","Freight and rail planning","H Trans","","1/27/2016","Moscoso","","","","","Moscoso","Manweller",""
"HB 2924","f","Wildland firefighters/GPS","H Ag & Nat Res","","1/27/2016","Dent","","","","","Dent","Griffey",""
"HB 2925","f","Wildland fires/livestock","H subst for","","2/17/2016","Dent","","","","DPS10 DNP3 (AGNR 16)","Dent","Blake",""
"HB 2926","","Language of public notices","H Public Safety","","1/27/2016","Walkinshaw","","SB 6530(S Rules X)","","","Walkinshaw","Jinkins",""
"HB 2927","","Telemedicine/mental health","H HC/Wellness","","1/27/2016","Short","","","","","Short","",""
"HB 2928","f","Outdoor burning/forest fires","H subst for","","2/16/2016","Kretz","","","","DPS13 (AGNR 16)","Kretz","Blake",""
"HB 2929","","Temporary homeless housing","H Rules 3C","","3/10/2016","Parker","","","49-0-0-0","DP5 (HSMH 16)","Parker","Ormsby",""
"HB 2930","#","Juv. corrections/counties","H Rules 3C","","3/10/2016","Parker","","","98-0-0-0","DP11 (ELHS 16)","Parker","Riccelli",""
"HB 2931","","Noncompetition agreements","H Rules X","","2/26/2016","Stanford","","","","DP4 DNP1 w/oRec1 (LAWS 16)","Stanford","Ormsby",""
"HB 2932","","State building code alts.","H Local Govt","","1/28/2016","Blake","","","","","Blake","Rossetti",""
"HB 2933","f","Small works rosters","H subst for","","2/15/2016","Gregerson","","","","DP2S(w/o sub TED)8 (CB 16)","Gregerson","Santos",""
"HB 2934","","Rail transport. task force","H Trans","","1/28/2016","Moscoso","","SB 6506(S Transportation)","","","Moscoso","Manweller",""
"HB 2935","","Gender seg. facility rules","H Judiciary","","1/28/2016","Van Werven","","SB 6443(S Failed 3rd)","","","Van Werven","Klippert",""
"HB 2936","d","Public investments","H subst for","","2/17/2016","Senn","","SB 6596(S Ways & Means)","","DPS31 (APP 16)","Senn","Chandler",""
"HB 2937","f#","Discover pass purchasing","H Gen Govt & Inf","","1/28/2016","Klippert","","","","","Klippert","",""
"HB 2938","f","WA trade conventions/taxes","H subst for","","2/15/2016","Orcutt","","","","DPS14 DNP1 (FIN 16)","Orcutt","Walkinshaw",""
"HB 2939","","Newborn safe surrender info.","H Erly Lrn/H Svc","","1/28/2016","Stokesbary","","SB 6586(S HumSer/MenHlth)","","","Stokesbary","Pollet",""
"HB 2940","","Voyeurism in the 2nd degree","H Public Safety","","1/28/2016","McCabe","","","","","McCabe","Cody",""
"HB 2941","","School bathrooms","H Judiciary","","1/29/2016","Short","","","","","Short","Klippert",""
"HB 2942","fd","Nonresident CDLs","H Rules R","","2/29/2016","Ryu","","SB 6591(S Rules X)","","DPS14 DNP11 (TR 16)","Ryu","",""
"HB 2943","","Obsolete provisions/commerce","H Rules R","","3/2/2016","Tharinger","","","","DPS8 (CB 16)","Tharinger","DeBolt",""
"HB 2944","","Psychotropic meds/children","H Erly Lrn/H Svc","","1/29/2016","Scott","","SB 6543(S HumSer/MenHlth)","","","Scott","McCaslin",""
"HB 2945","","Growth management act review","H Rules R","","2/5/2016","Appleton","","","","DPS5 DNP4 (LG 16)","Appleton","Moscoso",""
"HB 2946","","Mobile home park closures","H Judiciary","","1/29/2016","Robinson","","","","","Robinson","Appleton",""
"HB 2947","f","OSPI elimination/dept of ed","H Gen Govt & Inf","","1/29/2016","Sullivan","","","","","Sullivan","Lytton",""
"HB 2948","f","Career and college readiness","H Approps","","2/5/2016","Santos","","","","DPS21 (ED 16)","Santos","Pike",""
"HB 2949","","Voter party affiliation","H State Governmen","","2/1/2016","Caldier","","","","","Caldier","",""
"HB 2950","","Motorcycle paraphernalia","H Judiciary","","2/1/2016","Haler","","SB 6624(S Law & Justice)","","","Haler","Kirby",""
"HB 2951","","Firearms & ammo in vehicles","H Judiciary","","2/1/2016","Scott","","","","","Scott","Taylor",""
"HB 2952","","Instream flow rules","H Ag & Nat Res","","2/1/2016","Scott","","","","","Scott","Manweller",""
"HB 2953","","Public employees/pub. works","H Local Govt","","2/1/2016","Tarleton","","","","","Tarleton","Moscoso",""
"HB 2954","fd","Manufactured home sales","H Comm Dev, Hous","","2/1/2016","Ryu","","","","","Ryu","",""
"HB 2955","f","Free to finish college prog.","H Rules X","","2/26/2016","Hansen","","","","DP2S(w/o sub HE)22 DNP9 (APP 16)","Hansen","Stanford",""
"HB 2956","","Technology in transportation","H Rules R","","2/9/2016","Clibborn","","","","DPS25 (TR 16)","Clibborn","Ormsby",""
"HB 2957","","Juvenile custody & placement","H Erly Lrn/H Svc","","2/1/2016","Shea","","","","","Shea","",""
"HB 2958","","Minor chem. dep. treatment","H Judiciary","","2/1/2016","Shea","","","","","Shea","",""
"EHB 2959","af#","Business tax & licenses","C 55 L 16","","3/29/2016","Lytton","","","96-0-0-2","DPA(TRED)16 w/oRec4 (WM 16)","Lytton","Nealey",""
"HB 2960","f","Winery tasting rooms","H Commerce & Gam","","2/1/2016","Condotta","","","","","Condotta","Vick",""
"HB 2961","","Investigational med. product","H HC/Wellness","","2/1/2016","Vick","","","","","Vick","Schmick",""
"HB 2962","","College admission tests","H Education","","2/2/2016","Moscoso","","","","","Moscoso","Tarleton",""
"HB 2963","","High school exam payment","H Education","","2/2/2016","Moscoso","","","","","Moscoso","Pollet",""
"HB 2964","f","Reduced-price lunch copays","H subst for","","2/16/2016","Gregerson","","","","DPS17 DNP13 w/oRec1 (APP 16)","Gregerson","Santos",""
"HB 2965","","School accountability","H Approps","","2/2/2016","Magendanz","","","","","Magendanz","Young",""
"HB 2966","","Transp. electrification","H Tech &  Econ D","","2/3/2016","Muri","","","","","Muri","Fey",""
"HB 2967","","Washington investment trust","H Bus & Fin Svcs","","2/3/2016","Walkinshaw","","","","","Walkinshaw","Hudgins",""
"HB 2968","","Kindergarten, K-3 class size","H Rules C","","3/10/2016","Tharinger","","","","DP8 (CB 16)","Tharinger","DeBolt",""
"HB 2969","f#","Vapor product taxation","H Commerce & Gam","","2/3/2016","Harris","","","","","Harris","Cody",""
"HB 2970","f#","Voyeurism","H Rules 3C","","3/10/2016","McCabe","","","93-0-0-4","DPA4 w/oRec2 (LAW 16)","McCabe","Appleton",""
"EHB 2971","af#","Real estate/local government","C 138 L 16","","3/31/2016","McBride","","","93-3-0-2","DPA22 (WM 16)","McBride","Nealey",""
"HB 2972","","State environmental policy","H Environment","","2/4/2016","McBride","","SB 6646(S GovtOp&Sec)","","","McBride","Hudgins",""
"HB 2973","f","Transportation performance","H subst for","","2/12/2016","Orcutt","","","","DPS25 (TR 16)","Orcutt","",""
"HB 2974","","Property confiscation/emerg.","H Judiciary","","2/5/2016","Shea","","","","","Shea","Taylor",""
"HB 2975","","Firearms civil rights","H Judiciary","","2/5/2016","Shea","","","","","Shea","Taylor",""
"HB 2976","f","Clarke-McNary account trans.","H Rules X","","2/26/2016","Ormsby","","","","DP31 (APP 16)","Ormsby","Dunshee",""
"HB 2977","f","Silicon smelters/taxes","H Approps","","2/29/2016","Short","","","","DPS14 w/oRec1 (FIN 16)","Short","Kretz",""
"HB 2978","","School choice","H Education","","2/8/2016","Stokesbary","","","","","Stokesbary","Magendanz",""
"HB 2979","","Nonprofit/major industrial","H Finance","","2/9/2016","DeBolt","","","","","DeBolt","",""
"HB 2980","","Air quality/facility siting","H Environment","","2/10/2016","Kochmar","","","","","Kochmar","Hickel",""
"HB 2981","","Delinquent property taxes","H Finance","","2/10/2016","Shea","","","","","Shea","",""
"HB 2982","f","Methanol tax exemption","H Finance","","2/12/2016","Jinkins","","","","","Jinkins","Fey",""
"HB 2983","","Personal & alcohol monitors","H Finance","","2/12/2016","Shea","","","","","Shea","",""
"HB 2984","","Local gov. financing T.O.","H Local Govt","","2/15/2016","Senn","","","","","Senn","Nealey",""
"HB 2985","f","Educational space inventory","H subst for","","3/3/2016","Riccelli","","","","DPS9 (CB 16)","Riccelli","Short",""
"HB 2986","","Pacific Islander health care","H HC/Wellness","","2/16/2016","Santos","","","","","Santos","Moscoso",""
"HB 2987","","Feminine hygiene products","H Finance","","2/16/2016","Wilson","","","","","Wilson","Van Werven",""
"HB 2988","","Budget stabilization T.O.","H subst for","","3/29/2016","Dunshee","","","","DPS18 DNP15 (APP 16)","Dunshee","",""
"HB 2989","","Career & tech. ed. materials","H Approps","","2/22/2016","Reykdal","","SB 6661(S Ways & Means)","","","Reykdal","Walsh",""
"HB 2990","f","Extracted fuel use tax","H Finance","","2/22/2016","Peterson","","","","","Peterson","Robinson",""
"HB 2991","f","Real estate loans tax ded.","H Finance","","2/22/2016","Farrell","","","","","Farrell","Riccelli",""
"HB 2992","f","Large private airplane taxes","H Finance","","2/22/2016","Frame","","","","","Frame","Farrell",""
"HB 2993","f","International banking taxes","H Finance","","2/22/2016","Riccelli","","","","","Riccelli","Jinkins",""
"HB 2994","f","Aerospace tax incentives","H Finance","","2/22/2016","Robinson","","","","","Robinson","Walkinshaw",""
"HB 2995","","Four-year balanced budget","H Approps","","2/23/2016","Dunshee","","","","","Dunshee","",""
"HB 2996","f#","Tax preferences/K-12 funding","H Rules R","","2/29/2016","Lytton","","","","DP8 DNP6 w/oRec1 (FIN 16)","Lytton","Reykdal",""
"HB 2997","","Public transp. agreements","H Trans","","2/26/2016","Pike","","","","","Pike","",""
"HB 2998","f","Marijuana markets","H Commerce & Gam","","2/26/2016","Hurst","","","","","Hurst","Condotta",""
"HB 2999","","Medical imaging tax incent.","H Finance","","2/26/2016","Pike","","","","","Pike","",""
"HB 3000","","Education T.O.","H Education","","2/26/2016","Springer","","","","","Springer","Magendanz",""
"HB 3001","","High school graduation T.O.","H Education","","2/29/2016","Reykdal","","","","","Reykdal","Young",""
"HB 3002","","Charter schools T.O.","H Education","","2/29/2016","Springer","","","","","Springer","Magendanz",""
"HB 3003","","Wages by paper check","H Labor & Workpl","","3/2/2016","Taylor","","","","","Taylor","Young",""
"HB 3004","","Abandoned cemeteries","H State Governmen","","3/3/2016","Orcutt","","","","","Orcutt","Blake",""
"HB 3005","","District legislative offices","H State Governmen","","3/7/2016","Young","","","","","Young","",""
"HB 3006","","Balanced budget/ed. levies","H Approps","","3/8/2016","Dunshee","","","","","Dunshee","",""
"HB 3007","","School sports/rights","H Judiciary","","3/9/2016","Young","","","","","Young","Caldier",""
"HB 3008","","State agency land purchases","H Cap Budget","","3/9/2016","Haler","","","","","Haler","Klippert",""
"HB 3009","","Morning foods/instruct. hrs","H 2nd Reading","","3/28/2016","Hudgins","","","","","Hudgins","Magendanz",""
"HJM 4000","","Free and fair elections","H Rules 3C","","3/10/2016","Reykdal","","","52-46-0-0","DP4 DNP3 (SG 16)","Reykdal","Orwall",""
"HJM 4001","","Daylight savings time","H State Governme","","1/12/2015","Schmick","","","","","Schmick","Stanford",""
"HJM 4002","","Wolf conserv. and mgmt plan","H Ag & Nat Res","","1/28/2015","Kretz","","","","","Kretz","Blake",""
"HJM 4003","","Parental rights amendment","H Judiciary","","1/28/2015","Shea","","","","","Shea","Scott",""
"HJM 4004","","Elections, money spent on","H Rules R","","2/20/2015","Wylie","","SJM 8002(S GovtOp&StSec)","","DP4 DNP3 (SG 15)","Wylie","Tarleton",""
"HJM 4005","","Ports/ag, food, timber","H Labor","","2/3/2015","Dent","","","","","Dent","Springer",""
