 , Total Compensation, Total Personal Expenses, Total Entertainment, Total Contributions, Total Advertising, Total Political Ads, Total Other Expenses, Totals
SHOEMAKER DELEE, 36000.00, 8626.14, 952.97, 79427.52, 0.00, 0.00, 0.00, 125006.63
SHOFNER TRAVIS, 6.25, 107.02, 0.00, 0.00, 0.00, 0.00, 0.00, 113.27
SHUTE HEATHER, 1971.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1971.70
SIGMON SCOTT, 241237.50, 5244.68, 0.00, 0.00, 0.00, 0.00, 0.00, 246482.18
SIMMONDS KAREN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SIMMONS ERIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SIMPSON DOUG, 73246.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 73246.46
SINCLAIR RENEE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SIZEMORE BUD, 29944.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 29944.46
SKOGMAN JAMES, 30000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 30000.00
SLUNAKER RICK, 62400.00, 0.00, 2426.64, 16904.03, 0.00, 700.00, 61384.42, 133315.09
SMEDES GERALD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SMEDES & ASSOCIATES*, 95361.65, 4199.84, 659.92, 2300.00, 0.00, 0.00, 94488.35, 197009.76
SMITH CHAD, 18313.62, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 18313.62
SMITH GARY, 19000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 19000.00
SMITH GLEN, 39225.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 39225.00
SMITH LOIS, 307.68, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 307.68
SMITH MELANIE, 63624.96, 2900.00, 0.00, 0.00, 0.00, 0.00, 0.00, 62941.63
SOBEL LAURIE, 85.51, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 85.51
SOKOLSKI EMILY, 4152.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4152.00
SORENSEN MELVIN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SORRELL-NEAL TONIA, 7500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7500.00
SORRIN LEONARD, 12945.88, 1696.10, 62.78, 0.00, 0.00, 0.00, 0.00, 14704.76
SORSCHER STAN, 1200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1200.00
SOUCY CRAIG, 24819.18, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 24819.18
SPALL JENNIFER, 19000.00, 157.85, 464.68, 44200.00, 0.00, 0.00, 0.00, 63822.53
SPEARS BEVERLY, 143.70, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 143.70
SPENCER KENNETH, 1842.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1842.50
SPILLER J RYAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SPRAGUE K COLLINS, 129700.00, 13493.95, 5483.85, 13800.00, 0.00, 0.00, 0.00, 162477.82
ST OURS LAURI, 24275.41, 0.00, 0.00, 4000.00, 0.00, 0.00, 500.00, 28775.41
STACY NAOMI, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
STADDEN DIANA, 3600.00, 0.00, 0.00, 0.00, 1250.00, 0.00, 0.00, 4850.00
STAUFFACHER WILLIAM, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
STAUFFACHER COMMUNICATIONS*, 601300.00, 5256.80, 3664.57, 31517.50, 0.00, 0.00, 0.00, 641688.87
STEBBINS ERNEST, 1704.68, 0.00, 1534.46, 250.00, 0.00, 361993.90, 0.00, 365483.04
STECHER DONALD, 11305.00, 5696.14, 2444.58, 0.00, 0.00, 0.00, 0.00, 19445.72
STEELE DANIEL, 32670.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 32670.00
STERNOFF JAY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
STERNOFF MANAGEMENT*, 3000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00
STEUERWALT MATT, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
STEVENS LAWRENCE, 98868.45, 2496.12, 0.00, 0.00, 0.00, 0.00, 0.00, 101364.57
STEVENS ROBERT, 660.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 660.00
STEWARD DONNA, 66728.84, 0.00, 885.82, 0.00, 0.00, 0.00, 0.00, 67614.66
STEWART MELANIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
STIFFARM DENISE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
STOCK AMANDA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
STOEL RIVES LLP*, 5142.50, 0.00, 0.00, 0.00, 0.00, 0.00, 75.72, 5218.22
STOLL JENNIFER, 735.00, 800.00, 205.98, 23900.83, 0.00, 10200.00, 0.00, 35841.81
STONE ALEXANDER, 101.01, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 101.01
STRANNIGAN GARY, 36000.00, 0.00, 484.06, 33500.00, 0.00, 0.00, 0.00, 70019.93
STRATEGIES 360*, 781725.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 781725.00
STROH MARK, 1200.00, 501.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1701.00
STROM ERIK, 60000.00, 134.85, 0.00, 3750.00, 0.00, 0.00, 60000.00, 123884.85
STRUYK WILLIAM, 60370.00, 3715.00, 4272.00, 1108.00, 0.00, 10000.00, 53463.00, 132345.00
STUHLMILLER JOHN, 44000.00, 0.00, 2447.95, 0.00, 0.00, 0.00, 0.00, 46447.95
SUITER BRENDA, 10400.00, 65.28, 0.00, 0.00, 0.00, 0.00, 0.00, 10465.28
SWANSON CHRISTINE, 90000.00, 735.89, 72.43, 0.00, 0.00, 0.00, 61.39, 90869.71
SWARTHOUT SANDI, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
SWARTLEY DAVID, 2723.49, 2330.80, 300.00, 16600.00, 0.00, 0.00, 0.00, 21954.29
SWENSON KATHRYN, 7750.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7750.00
T K BENTLER/PUBLIC AFFAIRS ASSOC*, 492108.34, 26044.26, 4720.09, 381.96, 0.00, 0.00, 0.00, 523251.15
TALCOTT GEORGANNE, 1200.00, 0.00, 83.00, 200.00, 170.00, 7499.96, 6407.00, 15559.96
TALLMAN SHEELA, 2376.61, 163.12, 0.00, 0.00, 0.00, 0.00, 0.00, 2539.73
TAMAYO MURRAY JOSEPHINE, 42024.28, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 42024.28
TAYLOR BRIAHNA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TAYLOR MARCIE, 57.00, 0.00, 0.00, 0.00, 112.24, 0.00, 0.00, 169.24
TAYLOR MARY, 19082.00, 0.00, 33.40, 0.00, 0.00, 0.00, 0.00, 19115.40
TEAGUE JAN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TEFFT KRISTOPHER, 48400.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 48400.00
TELLEFSON CARRIE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TEMPLE MICHAEL, 233882.00, 11195.10, 3809.54, 0.00, 0.00, 0.00, 0.00, 243986.64
THATCHER LISA, 494513.44, 7838.53, 1829.85, 0.00, 0.00, 0.00, 0.00, 504181.82
THE TSB GROUP*, 328000.00, 6660.57, 1461.22, 10900.00, 0.00, 0.00, 0.00, 347021.79
THEIN PETER, 13500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 13500.00
THEOFELIS JAMES, 14272.46, 1915.52, 0.00, 0.00, 0.00, 0.00, 13568.66, 29756.64
THOMAS JEFFREY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
THOMAS MICHELE, 979.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 979.27
THOMPSON ADRIENNE, 11500.00, 0.00, 0.00, 450.00, 0.00, 0.00, 0.00, 11950.00
THOMPSON CHRIS, 6019.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6019.00
THOMPSON ELIZABETH, 3494.92, 248.24, 0.00, 0.00, 0.00, 0.00, 0.00, 3743.16
THOMPSON J PAT, 22507.60, 0.00, 664.76, 0.00, 0.00, 0.00, 0.00, 23172.36
THOMPSON MARGARET LEE, 379.44, 79.37, 0.00, 0.00, 0.00, 0.00, 0.00, 458.81
THOMPSON ROWLAND, 85000.00, 2524.12, 2245.04, 0.00, 0.00, 0.00, 0.00, 89769.16
THORNTON GAVIN, 768.45, 67.16, 0.00, 0.00, 36.63, 0.00, 0.00, 872.24
TILTON TERRY, 53064.00, 125.00, 177.00, 25.00, 0.00, 0.00, 0.00, 53391.00
TODD KAMMERON, 2400.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2400.00
TODD LANI, 41519.05, 5237.20, 114.99, 0.00, 182.74, 0.00, 221.06, 47275.04
TORRES TERESITA, 62997.39, 0.00, 0.00, 23250.00, 0.00, 0.00, 0.00, 86247.39
TOSO AARON, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TOWER BRADLEY, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TOWER LTD*, 296076.12, 3211.81, 3145.27, 0.00, 1592.18, 0.00, 4000.00, 307796.50
TRACY SUSAN, 348915.96, 0.00, 1146.00, 0.00, 0.00, 0.00, 0.00, 350181.96
TRAISMAN CLIFFORD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
TRANSUE MICHAEL, 226182.00, 3688.96, 1464.46, 0.00, 0.00, 0.00, 0.00, 231335.42
TRETWOLD JERRY, 0.00, 0.00, 2742.96, 11300.00, 0.00, 0.00, 0.00, 14042.96
TRUPIN CASEY, 865.00, 122.00, 0.00, 50.00, 0.00, 0.00, 0.00, 1037.00
TRUPIN REMY, 5131.96, 655.35, 0.00, 0.00, 0.00, 0.00, 20000.00, 25787.31
TULL ANDREA, 12000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 12000.00
TYRRELL TRACEY, 6000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 6000.00
ULVENES AMBER, 113100.00, 10.00, 0.00, 0.00, 28.00, 0.00, 0.00, 113138.00
UMAN JESSE, 83165.00, 3.00, 15772.83, 0.00, 0.00, 0.00, 0.00, 98940.83
VALERIANO LAURIE, 6150.00, 2842.00, 0.00, 0.00, 450.00, 0.00, 0.00, 9442.00
VAN DYK CHRIS, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
VAN NIEUWBURG RICK, 9286.74, 0.00, 0.00, 0.00, 0.00, 88.00, 22228.28, 31603.02
VARON JANET, 4654.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 4654.00
VELORIA VELMA, 1924.44, 53.40, 0.00, 0.00, 0.00, 0.00, 0.00, 1987.76
VILLANUEVA HEATHER, 5231.46, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5231.46
VILLEGAS ALMA, 1127.54, 264.65, 0.00, 0.00, 0.00, 0.00, 0.00, 1392.19
VYVYAN DAWN, 133068.00, 5303.89, 0.00, 0.00, 0.00, 0.00, 0.00, 138371.89
WA CAPITOL SERVICES*, 8000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8000.00
WAGNER TONY, 11589.38, 2332.13, 0.00, 0.00, 0.00, 0.00, 0.00, 13921.51
WALDRON JOSEPH, 600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 600.00
WALGREN GORDON, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WALKER TOM, 82356.97, 2955.16, 0.00, 0.00, 0.00, 0.00, 425.27, 85737.40
WALSH LORNA, 1098.47, 304.10, 0.00, 0.00, 0.00, 0.00, 0.00, 1402.57
WALSH SEAMUS, 2734.69, 225.96, 0.00, 0.00, 962.37, 0.00, 1853.52, 5776.54
WARBROUCK RICHARD, 2500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2500.00
WARNKE JEFF, 7275.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7275.00
WARNKE TAMARA, 96200.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 96200.00
WARREN DAVID, 21750.00, 0.00, 60.00, 0.00, 0.00, 0.00, 0.00, 21810.00
WATERS KAREN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WATKINS MARILYN, 2436.75, 340.30, 0.00, 0.00, 0.00, 0.00, 0.00, 2777.05
WATKINS PHIL, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WATKINS SALLY, 3034.42, 144.90, 0.00, 0.00, 0.00, 0.00, 0.00, 3179.32
WAYPOINT CONSULTING GROUP*, 338941.00, 352.98, 0.00, 29000.00, 0.00, 0.00, 0.00, 368293.98
WAYT PHILLIP, 22500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 22500.00
WEAVER RHONDA, 36000.00, 0.00, 4810.02, 49550.00, 0.00, 0.00, 0.00, 90360.02
WEBSTER CLIFFORD, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WEISS JOSH, 4887.76, 0.00, 213.57, 0.00, 0.00, 0.00, 0.00, 5101.33
WELLS LAURA, 9727.17, 1821.59, 771.00, 0.00, 0.00, 0.00, 0.00, 12309.76
WERSCHKUL MISHA, 36887.27, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 36887.27
WEST KRISTEN, 669.71, 1486.99, 67.44, 0.00, 0.00, 0.00, 0.00, 2224.14
WESTBERG DAVID, 13764.88, 4219.64, 0.00, 0.00, 0.00, 0.00, 100.00, 18174.52
WHEELER JOHN, 1500.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 1000.00
WHITE JACQUELINE, 297.77, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 297.77
WHITE JUDITH, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WHITE RICHARD, 17061.00, 0.00, 169.87, 0.00, 0.00, 0.00, 0.00, 17230.87
WHITE TUDOR KATHERINE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WHITE TUDOR LLC*, 96996.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 96996.00
WHITEAKER CHELENE, 259.07, 133.06, 34.41, 175.00, 0.00, 0.00, 0.00, 601.54
WHITING KATE, 18000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 18000.00
WICKMAN RICK, 115824.96, 361.34, 177.01, 0.00, 0.00, 0.00, 1183.33, 117546.64
WIGGINS KRISTIN, 902.50, 1706.25, 0.00, 0.00, 0.00, 0.00, 0.00, 2608.75
WILKE DEBORAH, 8228.96, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8228.96
WILLIAMS DAVID, 3059.09, 0.00, 521.76, 0.00, 0.00, 0.00, 0.00, 3580.85
WILLIAMS JAKE, 2216.32, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 2216.32
WILLIAMS NICOLE, 4248.91, 75.33, 0.00, 0.00, 0.00, 0.00, 0.00, 4274.24
WILLIAMS JOHNSON STACY LLP*, 13012.50, 1629.12, 0.00, 0.00, 0.00, 0.00, 0.00, 14641.62
WILSON D J, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
WILSON STRATEGIC COMMUNICATIONS*, 10000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 7500.00
WISHART BRUCE, 40108.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 40108.00
WITHEE ERIC, 2659.77, 649.15, 0.00, 0.00, 0.00, 0.00, 0.00, 3308.92
WOLFSTONE PANCHOT & BLOCH PS INC*, 3704.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3704.00
WONG CHRISTINA, 1544.62, 376.80, 0.00, 0.00, 526.08, 0.00, 0.00, 2447.50
WOOD CAROLYN, 25518.00, 3387.00, 0.00, 200.00, 9150.00, 0.00, 0.00, 38255.00
WOOD DAN, 46000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 46000.00
WOOD RICH, 311.34, 0.00, 0.00, 0.00, 0.00, 1764.26, 0.00, 2075.60
WOODIN MICHAEL, 87000.00, 485.15, 753.95, 0.00, 0.00, 0.00, 0.00, 88239.10
WOODRING JOHN, 80750.21, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 80750.21
WOODRUFF MARY ANN, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
YANCEY FREDERICK, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
YATES HENRY, 8000.00, 600.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8600.00
YOUMANS DAN, 77269.25, 4883.48, 303.70, 89300.00, 0.00, 0.00, 0.00, 171756.42
YOUNG HILARY, 90.00, 75.00, 0.00, 0.00, 0.00, 0.00, 0.00, 165.00
YOUNG LUCINDA, 84905.82, 2416.95, 672.86, 11076.05, 0.00, 0.00, 0.00, 99071.68
YUAN GRACE, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ZAVOLI KRIS, 5512.38, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 5512.38
ZEHNDER CYNTHIA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ZODROW IDA, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00
ZUKOSKI ROBIN, 8128.11, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 8127.81
ZUMWINKLE MICHAEL, 3000.00, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00, 3000.00
ZUVICH MATT, 69756.00, 1759.20, 1546.04, 0.00, 0.00, 0.00, 0.00, 73061.24
ZVARA SYDNEY, 18000.00, 1530.04, 0.00, 0.00, 0.00, 0.00, 0.00, 19530.04
